Age	GMST_Mills
5.207110318	15.83921579
14.50594092	16.36935073
24.65011976	18.40953448
34.7942986	21.46704979
44.93847743	23.37596495
55.08265627	21.82267112
65.64950923	19.80196296
73.68031748	22.60399524
83.82449631	25.43179052
93.96867515	26.6515456
104.112854	27.96975212
114.2570328	28.33626138
124.4012117	27.42290191
134.5453905	26.44390814
144.6895693	25.59618296
154.8337482	25.04381211
164.977927	25.41032136
175.1221059	27.71304229
185.2662847	29.98294607
195.4104635	30.1853696
205.5546424	29.99398736
215.6988212	30.45894806
225.843	31.0223602
235.9871789	30.10900072
246.1313577	27.42351531
256.2755366	24.96774993
266.4197154	24.57946481
276.5638942	24.84752263
286.7080731	23.67162598
296.8522519	22.46291218
306.9964308	24.07647303
317.1406096	23.09747926
327.2847884	22.08566834
337.4289673	24.45402357
347.5731461	26.82237879
357.7173249	28.63284251
367.8615038	30.08231762
378.0056826	31.3020727
388.1498615	32.39055919
398.2940403	33.44622854
408.4382191	33.97682353
418.582398	33.98234417
