Age	GMST_Landwehrs_proxy
60	16.7
65	15.5
70	15.5
75	18.4
80	19.8
85	20.7
90	18.1
95	18.5
100	19.8
105	20.3
110	20.7
115	20.6
120	19.8
125	19.5
130	19.1
135	19.3
140	18.6
145	17.5
150	18
155	18.3
160	18.7
165	16.8
170	19
175	18.7
180	17.4
185	17.8
190	18.9
195	20.5
200	20.2
205	19.6
210	19
215	19.2
220	20.4
225	21.1
230	20.7
235	19.4
240	16.5
245	12.9
250	16.8
255	17.6
	
