age	pCO2_Foster
194.50	1769.77
195.00	1796.57
195.50	1800.11
196.00	1783.74
196.50	1772.47
197.00	1768.36
197.50	1770.42
198.00	1767.68
198.50	1768.01
199.00	1725.17
199.50	1731.48
200.00	1732.56
200.50	1730.60
201.00	1723.92
201.50	1732.22
202.00	1689.51
202.50	1550.94
203.00	1521.18
203.50	1602.61
204.00	1583.01
204.50	1545.19
205.00	1492.68
205.50	1461.27
206.00	1543.67
206.50	1540.96
207.00	1505.03
207.50	1437.95
208.00	1368.30
208.50	1348.82
209.00	1277.87
209.50	1240.43
210.00	1206.60
210.50	1197.14
211.00	1178.39
211.50	1170.68
212.00	1172.91
212.50	1223.65
213.00	1231.62
213.50	1210.86
214.00	1207.79
214.50	1324.31
215.00	1339.32
215.50	1361.99
216.00	1381.16
216.50	1406.39
217.00	1439.63
217.50	1450.96
218.00	1501.04
218.50	1531.76
219.00	1552.40
219.50	1589.30
220.00	1599.29
220.50	1614.51
221.00	1660.23
221.50	1702.54
222.00	1776.13
222.50	1818.97
223.00	1854.49
223.50	1911.95
224.00	1955.25
224.50	2047.59
225.00	2131.92
225.50	2111.68
226.00	2073.20
226.50	2062.80
227.00	2059.04
227.50	2051.57
228.00	2082.91
228.50	2023.94
229.00	1989.51
229.50	1975.23
230.00	1938.98
230.50	1892.22
231.00	1767.46
231.50	1662.83
232.00	1613.52
232.50	1624.32
233.00	1518.27
233.50	1495.34
234.00	1478.47
234.50	1447.15
235.00	1398.80
235.50	1352.41
236.00	1300.84
236.50	1248.87
237.00	1210.03
237.50	1205.65
238.00	1204.76
238.50	1167.29
239.00	1110.06
239.50	1033.59
240.00	532.66
240.50	528.96
241.00	532.54
241.50	519.87
242.00	491.72
242.50	424.20
243.00	388.88
243.50	400.12
244.00	424.25
244.50	417.99
245.00	420.96
245.50	414.97
246.00	429.51
246.50	451.45
247.00	490.73
247.50	550.55
248.00	615.49
248.50	668.76
249.00	691.14
249.50	738.91
250.00	772.38
250.50	769.71
251.00	825.97
251.50	856.75
252.00	878.74
252.50	871.56
253.00	856.32
253.50	865.39
254.00	868.96
254.50	856.25
255.00	849.85
255.50	844.34
256.00	810.90
256.50	778.24
257.00	727.60
257.50	677.85
258.00	637.31
258.50	610.69
259.00	580.34
259.50	562.04
260.00	535.64
260.50	495.65
261.00	461.03
261.50	409.91
262.00	373.08
262.50	352.02
263.00	344.77
263.50	349.70
264.00	356.78
264.50	340.11
265.00	320.41
265.50	322.44
266.00	321.19
266.50	316.97
267.00	308.80
267.50	306.95
268.00	301.88
268.50	300.75
269.00	325.45
269.50	331.28
270.00	325.11
270.50	351.09
271.00	337.61
271.50	358.78
272.00	389.79
272.50	417.24
273.00	443.77
273.50	432.28
274.00	525.87
274.50	543.87
275.00	555.97
275.50	551.32
276.00	560.26
276.50	571.31
277.00	583.06
277.50	591.36
278.00	611.66
278.50	636.82
279.00	665.83
279.50	681.58
280.00	690.31
280.50	675.83
281.00	651.44
281.50	633.54
282.00	625.92
282.50	616.27
283.00	610.60
283.50	612.56
284.00	610.79
284.50	591.40
285.00	596.60
285.50	639.35
286.00	642.91
286.50	638.81
287.00	616.91
287.50	565.92
288.00	562.52
288.50	562.75
289.00	555.52
289.50	547.90
290.00	545.09
290.50	563.61
291.00	549.54
291.50	527.59
292.00	518.39
292.50	499.24
293.00	479.80
293.50	491.52
294.00	436.08
294.50	414.43
295.00	404.65
295.50	396.44
296.00	399.84
296.50	443.74
297.00	444.70
297.50	454.52
298.00	458.31
298.50	453.17
299.00	451.66
299.50	386.74
300.00	408.82
300.50	380.44
301.00	383.28
301.50	399.46
302.00	415.97
302.50	407.48
303.00	400.31
303.50	388.03
304.00	370.49
304.50	356.03
305.00	352.46
305.50	359.45
306.00	365.00
306.50	374.69
307.00	377.01
307.50	360.06
308.00	342.73
308.50	333.01
309.00	335.51
309.50	356.02
310.00	351.73
310.50	349.07
311.00	338.07
311.50	338.39
312.00	341.09
312.50	336.22
313.00	329.22
313.50	320.64
314.00	319.46
314.50	326.80
315.00	328.59
315.50	329.94
316.00	335.45
316.50	335.98
317.00	355.25
317.50	351.25
318.00	341.63
318.50	330.39
319.00	325.74
319.50	332.50
320.00	336.78
320.50	337.86
321.00	340.63
321.50	337.34
322.00	331.15
322.50	324.96
323.00	333.29
323.50	360.13
324.00	355.61
324.50	343.08
325.00	339.44
325.50	347.44
326.00	352.07
326.50	347.33
327.00	316.52
327.50	306.49
328.00	303.27
328.50	298.40
329.00	291.55
329.50	275.45
330.00	260.02
330.50	296.54
331.00	296.25
331.50	301.06
332.00	300.26
332.50	283.85
333.00	262.84
333.50	223.42
334.00	216.78
334.50	218.06
335.00	219.25
335.50	256.43
336.00	268.43
336.50	242.82
337.00	231.43
337.50	235.61
338.00	226.56
338.50	225.06
339.00	238.15
339.50	274.07
