Age	GMST_Valdes_Foster
12.89227166	17.71140873
18.95784543	18.43727679
22.42388759	19.3375
25.0234192	20.2127629
28.48946136	21.22053571
31.6088993	21.91428571
35.6381733	22.93839286
37.67447307	23.4455304
47.55269321	23.23421266
53.18501171	22.96977679
55.22750084	21.91522959
56.79547229	20.84613095
58.23965652	20.08630952
59.68384075	18.82854353
66.03825137	17.79720982
66.72423888	16.90524554
65.53278689	16.33950893
71.38173302	18.85848214
72.39266198	20.06428571
74.76112412	21.84160714
73.54800937	20.82410714
81.43325527	22.81852041
80.48009368	23.20267857
90.6306457	22.27099277
91.8891491	21.36491402
96.79937549	23.49614583
98.24355972	24.39196429
100.4098361	25.21950893
104.7423888	26.25487825
111.2412178	25.67445791
113.8407494	24.7140625
118	24.1475
123.8056206	23.61536281
129.8711944	23.01304499
139.6916472	23.50157313
144.6018735	22.14710884
150.0675554	21.25069139
160.1990632	22.01339286
169.4418423	22.63859375
179.2622951	21.96534091
186.1943794	21.835
190.6713505	22.76495536
193.1264637	23.69270833
198.3255269	24.36193182
205.2576112	23.64866071
212.4063232	22.89218219
212.6229508	22.3375558
218.471897	23.54588294
223.3460187	24.61117985
226.6315379	24.95907738
232.9859485	23.7318006
235.5854801	22.56674107
237.7517564	21.71607143
239.0515222	20.8064881
240.7845433	19.93214286
245.7360321	19.04856859
244.4981599	17.88746811
253.4355972	20.35956207
257.2482436	19.41458333
258.9812646	18.29136905
260.7142857	17.17366071
265.4078845	16.10275298
270.8235753	16.81577381
270.2459016	15.93482143
272.8454333	17.78482143
276.4077544	18.86806658
284.4566745	18.98071429
291.9086651	18.34642857
297.1077283	17.78010204
302.8844653	16.66876488
311.4670458	16.18306122
317.0374707	15.799375
326.5690867	15.70957792
335.234192	14.30340774
336.3173302	15.11443452
338.4836066	13.63883929
342.1662763	16.39732143
341.2997658	15.40625
346.498829	18.14761364
343.0327869	17.19017857
356.030445	17.77881494
362.0960187	18.47857143
367.7283372	19.36558036
374.6604215	19.94866071
377.6932084	20.65892857
382.8922717	21.38871753
392.4238876	21.93230519
401.9555035	22.20560065
411.4871194	21.83920455
417.5526932	21.3432398
423.618267	20.67174242
433.1498829	19.82702922
442.6814988	19.47564935
450.4800937	20.00859694
458.2786885	20.69153525
467.8103044	20.85714286
477.3419204	21.46980519
486.8735363	21.21152597
496.4051522	20.99529221
505.9367681	21.40974026
515.4683841	21.34066558
525	20.71298701
534.5316159	20.73701299
541.030445	21.08013393
