clade	species	ts	te
0.0	Cypridea_aaleyensis	127.95923956893569	117.13425047026472
0.0	Cypridea_acicularis	142.57323052061517	137.13662533247333
0.0	Cypridea_aculeata	136.46759911361113	134.0395819821798
0.0	Cypridea_aemulans	142.82652686893866	138.2068782888429
0.0	Cypridea_ahlmadoensis	119.8026534407144	118.67074394935949
0.0	Cypridea_alcaramae	136.20131176061759	135.66643579450795
0.0	Cypridea_aleksandrowiensis	142.69812205127053	142.50294240369405
0.0	Cypridea_alta	141.40928992052918	139.78045379157794
0.0	Cypridea_altilis	135.90925761115614	135.35913173504736
0.0	Cypridea_altissima	142.36810796302962	141.25705620811212
0.0	Cypridea_ambigua	143.89631556057563	142.75726441395415
0.0	Cypridea_amerikana	114.94302468763689	104.93035524212243
0.0	Cypridea_amisia	142.4796553213232	141.29419853181534
0.0	Cypridea_andersoni	141.85906099812001	140.41204444687446
0.0	Cypridea_aragonensis	129.85510959787598	124.43386108593086
0.0	Cypridea_araripensis	126.02594402666027	111.72903497591975
0.0	Cypridea_arenosa	135.9002669432994	134.49520080261806
0.0	Cypridea_asseri	135.88070535572356	134.53662107221072
0.0	Cypridea_australis	132.93701237613377	119.61052775774759
0.0	Cypridea_baidarensis	129.67038892282923	117.44555911572117
0.0	Cypridea_bapounou	122.9060582597026	122.08945227952279
0.0	Cypridea_bibullata	126.09744932063322	123.48959055072551
0.0	Cypridea_bimammata	141.68438622417227	139.2450621802418
0.0	Cypridea_binodosa	144.01316757460575	142.58385989737897
0.0	Cypridea_bispinosa	136.39486244499446	132.4688454681147
0.0	Cypridea_blackbushensis	137.67766076833766	134.54752367607676
0.0	Cypridea_boulmanensis	117.87731853304533	116.4554305496755
0.0	Cypridea_brendae	128.7043148502285	127.08559512495123
0.0	Cypridea_brevicornis	110.3766631207312	104.71121952052522
0.0	Cypridea_brevirostrata	142.0831730213302	138.6972340394204
0.0	Cypridea_bubonulata	142.22762346315466	142.02298415363154
0.0	Cypridea_bullata	119.29215509160092	118.0198265376854
0.0	Cypridea_buxtorfi	143.5052548278783	143.3124553937039
0.0	Cypridea_candeiensis	141.88045249016486	139.9970712199822
0.0	Cypridea_caudata	122.8098747675577	121.97760209147091
0.0	Cypridea_cayelli	120.7235210781108	119.6923431124511
0.0	Cypridea_cidacosia	130.72290580489803	123.10630176680765
0.0	Cypridea_clavata	132.0543124900249	120.83066262861627
0.0	Cypridea_coelnothi	143.42460042742428	142.48581513431134
0.0	Cypridea_compta	116.89166288757887	99.74026960469605
0.0	Cypridea_comptonensis	123.48377910968111	122.33649687285872
0.0	Cypridea_conjugata	123.86934759438594	122.43001998134982
0.0	Cypridea_cornuta	130.56985139096392	122.79759210326104
0.0	Cypridea_craigi	117.08351902536026	103.13937534709346
0.0	Cypridea_cuckmerensis	123.06730717917179	120.85196161529618
0.0	Cypridea_cymerata	125.72036267003672	119.8178349379794
0.0	Cypridea_cyrtorostralis	126.77392514920149	116.41343359382591
0.0	Cypridea_daoudensis	128.3185786492065	124.57549490597907
0.0	Cypridea_darvelensis	142.0290993582936	140.77437084489844
0.0	Cypridea_deklaszi	123.42691846023462	121.30436472133721
0.0	Cypridea_delicatula	143.40908157247569	142.59340346515464
0.0	Cypridea_delicatula*	120.7638556298663	119.7164826704367
0.0	Cypridea_demandae	129.44812976757768	121.0131313903639
0.0	Cypridea_demnatensis	152.2126392214622	151.58458081419815
0.0	Cypridea_dequeenensis	113.01273076257763	102.58304462568626
0.0	Cypridea_diminuta	119.0377929743597	101.02546673801739
0.0	Cypridea_dolabrata	141.63604074567743	137.64901982422825
0.0	Cypridea_dorsispinata	132.4461498383084	127.8857573391934
0.0	Cypridea_dorsoinclinata	139.51983152071523	139.14087841629419
0.0	Cypridea_dromedarius	135.1415913386234	131.63087155737557
0.0	Cypridea_dunkeri	147.11539137513375	142.21062031458314
0.0	Cypridea_elisabethaensis	119.38453363462632	118.19063904377043
0.0	Cypridea_ellipsoidea	135.5263154859649	128.9967933616436
0.0	Cypridea_eminens	125.74398666861669	124.95977133946339
0.0	Cypridea_fasciata	124.0433798110081	120.95705785993862
0.0	Cypridea_faveolata	121.44815243417435	120.64002165326654
0.0	Cypridea_feruglioi	111.70181912432126	109.97472541719418
0.0	Cypridea_frithwaldi	136.44419851341513	134.3691252085421
0.0	Cypridea_funduklensis	142.3691339512795	139.6124501165512
0.0	Cypridea_gabonensis	136.89746157606575	136.39661618088184
0.0	Cypridea_garurensis	119.83774119437193	118.72216518784188
0.0	Cypridea_giffordi	135.86071686336865	134.4995049100291
0.0	Cypridea_granulosa	145.02579916272163	140.53194215637157
0.0	Cypridea_grekoffi	138.29408541630414	137.81571611135112
0.0	Cypridea_hadronodosa	141.7125138140181	140.16968263259633
0.0	Cypridea_hamakoussouensis	119.81519854223544	118.58525906368064
0.0	Cypridea_hamata	123.41503661372616	120.91691658670585
0.0	Cypridea_helenae	136.1813370715607	134.51076400706006
0.0	Cypridea_heliopolisensis	130.04262344611445	117.32172517158172
0.0	Cypridea_heliopolisensis_hespera	141.77663721284213	138.01065114458146
0.0	Cypridea_hispida	126.77944094770946	125.65668205116052
0.0	Cypridea_hollensis	123.38266507156072	121.14635583585834
0.0	Cypridea_hystricoides	127.95002171660718	123.94754494243945
0.0	Cypridea_hystrix	134.31335609357092	133.73347935741356
0.0	Cypridea_inaequalis	142.11046663849638	140.45174271551716
0.0	Cypridea_indiennensis	144.04087120752206	136.8257629220192
0.0	Cypridea_infima	141.80379783533834	137.7110154491545
0.0	Cypridea_insolita	122.58378601721016	121.72426081734817
0.0	Cypridea_isasae	130.13410519686198	121.92057390270901
0.0	Cypridea_jequiensis	121.88407039789399	120.9483441612116
0.0	Cypridea_kitariensis	95.81541921380214	90.92605925767256
0.0	Cypridea_kroemmelbeini	138.239075101521	137.75832449391496
0.0	Cypridea_laeli	114.29941531103312	105.7978979607596
0.0	Cypridea_laevigata	141.93598952824527	132.23590054319544
0.0	Cypridea_langei	126.58332494312944	125.77242604664046
