age	SL_Scotese
0	3.473620564
1	16.9912287122711
2	20.6372731040467
3	16.7354227303867
4	7.60934658235111
5	-4.417286349
6	-16.22828457
7	-22.9820690552656
8	-24.8233481916472
9	-23.3415328447052
10	-20.12603388
11	-16.543935308767
12	-13.0730137249408
13	-9.96871886813118
14	-7.4865004779477
15	-5.881808294
16	-5.40174637722462
17	-6.26003607386579
18	-8.66205305149465
19	-12.8131729776823
20	-18.91877152
21	-26.9308395112305
22	-35.787828445004
23	-44.1748049801622
24	-50.7768357755469
25	-54.27898749
26	-53.7991592103012
27	-50.1865797349822
28	-44.7233102905125
29	-38.6914121033619
30	-33.3729464
31	-29.7699788740447
32	-27.7645930877074
33	-26.9588770703477
34	-26.9549188513253
35	-27.35480646
36	-27.78598196264
37	-27.9773035731484
38	-27.6829835423367
39	-26.6572341210167
40	-24.65426756
41	-21.5210878980113
42	-17.4758663254272
43	-12.8295658205375
44	-7.89314936163186
45	-2.977579927
46	1.70966518761308
47	6.37505141664115
48	11.3285298770627
49	16.8800516858561
50	23.33956796
51	30.779478979711
52	38.3219816781586
53	44.8517221517508
54	49.2533464968953
55	50.41150081
56	47.5997422453191
57	41.6472721884924
58	33.7722030830062
59	25.1926473723467
60	17.1267175
61	10.6465848367166
62	6.24065646230366
63	4.25139838383237
64	5.02127660837406
65	8.892757143
66	15.7653062615424
67	23.7663913048769
68	30.5804798806403
69	33.8920395964691
70	31.38553806
71	21.9352630925619
72	9.17478337025261
73	-2.07251221713758
74	-6.9832347798185
75	-0.733995427999989
76	19.6515853873782
77	49.7618498524567
78	83.338130812646
79	114.121761113357
80	135.8540736
81	144.034797589093
82	141.197248281585
83	131.633137349529
84	119.634176464983
85	109.4920773
86	104.494830449912
87	103.915542203156
88	106.023597771444
89	109.088382366488
90	111.3792812
91	111.438259004137
92	108.89759859283
93	103.662162300454
94	95.6368124613858
95	84.72641141
96	71.1570584075407
97	56.4398004227252
98	42.4069213511394
99	30.8907050883691
100	23.72343553
101	22.0924041602605
102	24.6049328179495
103	29.2233509305081
104	33.9099879253779
105	36.62717323
106	35.8739919634171
107	32.2965520110768
108	27.077716950028
109	21.4003503573194
110	16.44731581
111	13.221422090071
112	12.0052587993432
113	12.9013607445799
114	16.0122627325444
115	21.44049957
116	29.008459363099
117	37.4179434155504
118	45.0906063304523
119	50.4481027109028
120	51.91208716
121	48.443055354653
122	41.1568672670151
123	31.7082239430507
124	21.7518264287242
125	12.94237577
126	6.57128480291307
127	2.47681352378119
128	0.13393371899277
129	-0.982382825063764
130	-1.397164322
131	-1.56595805572926
132	-1.66638759137185
133	-1.80659556434981
134	-2.09472461008518
135	-2.638917364
136	-3.46548063614802
137	-4.27337793510978
138	-4.67973694409753
139	-4.30168534632352
140	-2.756350825
141	0.140211750961329
142	3.77623876985096
143	7.34103943425992
144	10.0239229467793
145	11.01419851
146	9.7824403418947
147	6.92428272196195
148	3.31662494508185
149	-0.163633693865503
150	-2.6395939
151	-3.46604627262013
152	-2.92454098773875
153	-1.52831811554731
154	0.209382273762758
155	1.77532011
156	2.79836114281783
157	3.47579440124906
158	4.14701473417138
159	5.15141699046247
160	6.828396019
161	9.34631476221283
162	12.1894085367345
163	14.6708807527498
164	16.1039348204434
165	15.80177415
166	13.3643881779149
167	9.53891044592492
168	5.35926052207753
169	1.85935797442009
170	0.0731223710000002
171	0.639741325375694
172	2.61947463314983
173	4.67785013543612
174	5.48039567334827
175	3.692639088
176	-1.52507148526565
177	-9.03310673418824
178	-17.197017052278
179	-24.3823528330452
180	-28.95466447
181	-29.7442772578491
182	-27.4406160960849
183	-23.1978807853961
184	-18.1702711264715
185	-13.51198692
186	-10.1485932847459
187	-8.09111661177627
188	-7.12194861023366
189	-7.0234809892607
190	-7.578105458
191	-8.4712955282712
192	-9.00085192260204
193	-8.36765716619727
194	-5.77259378426167
195	-0.416544301999998
196	8.13070435040672
197	18.8237476228724
198	30.2482765603348
199	40.9899822077314
200	49.63455561
201	55.0808764476913
202	57.4805789438083
203	57.2984859569671
204	54.9994203457838
205	51.0482049688745
206	45.9096626848551
207	40.048616352342
208	33.929888829951
209	28.0183029762983
210	22.77868165
211	18.5656122720341
212	15.2927405128265
213	12.7634766051649
214	10.7812307818372
215	9.14941327563126
216	7.67143431933478
217	6.1507041457356
218	4.39063298762154
219	2.1946310777804
220	-0.633891350999999
221	-4.18633296174572
222	-8.13332800073821
223	-12.0403196100728
224	-15.4727509318448
225	-17.9960651081495
226	-19.1757052810822
227	-18.5771145927384
228	-15.7657361852131
229	-10.3070132006019
230	-1.76638878099999
231	10.0242019930288
232	24.1668562870464
233	39.4971793281462
234	54.8507763434219
235	69.0632525599667
236	80.9702132048742
237	89.4072635052378
238	93.210008688151
239	91.2140539807073
240	82.25500461
241	66.0192040797244
242	45.5959489999827
243	24.9252742574788
244	7.94721473891657
245	-1.39819466899998
246	-0.431873180252919
247	8.48144358843217
248	21.7160659196437
249	35.6463040959702
250	46.6464684
251	52.0309676337113
252	52.8746046766406
253	51.1922809277143
254	48.9988977858587
255	48.30935665
256	50.6301622335999
257	55.4342325082614
258	61.6860887601229
259	68.350252275323
260	74.39124434
261	78.9900813582739
262	82.1937602061908
263	84.2657728777785
264	85.4696113670647
265	86.068767668077
266	86.3267337748431
267	86.5070016813908
268	86.8730633817477
269	87.6884108699415
270	89.21653614
271	91.632043245877
272	94.7539844812308
273	98.3125241996462
274	102.037826754708
275	105.6600565
276	108.925414980664
277	111.644252508071
278	113.642956585144
279	114.747914714812
280	114.7855144
281	113.675729102985
