age	GMST_Judd
2	13.2807228165613
3	14.6068705567395
4	15.88900003005
5	16.118804084782
6	16.5961099909933
7	17.2430647438751
8	17.8309699130281
9	19.450424740485
10	20.3655382048738
11	21.2268284667344
12	22.8248373909118
13	23.0957173128402
14	23.7002757123997
15	23.6883212766683
16	23.7356513471315
17	23.8180717843854
18	23.9427706061075
19	23.9615622793978
20	23.5387823221123
21	22.9210308342622
22	22.3115701980901
23	22.1475042251498
24	22.7282655763285
25	23.1614452422769
26	23.2966601411815
27	23.4547107931739
28	23.4429383079492
29	23.3435298162719
30	23.2182975130751
31	23.3656248816547
32	23.5003203153004
33	24.0590374020495
34	24.6821667207213
35	25.3154038786707
36	25.8644017836044
37	26.0910215347528
38	26.6652780471465
39	27.3930784240348
40	27.7215174207713
41	27.9909432256815
42	27.8487004599825
43	27.1802287004728
44	27.1202396387806
45	27.0427778789751
46	27.0450871072955
47	27.8519449808672
48	28.8071609044636
49	29.6152405528469
50	30.1096973616635
51	31.2029811966693
52	31.6135702688798
53	32.0827276190533
54	32.2778875944381
55	32.6133916791295
56	33.9669569727705
57	32.0129701061663
58	29.3917745201855
59	25.7122408063661
60	26.0963942810213
61	27.3101511751068
62	27.7039539955731
63	28.3004745719075
64	28.7555638163767
65	28.3152748790894
66	27.7783153940587
67	26.4888153999628
68	25.4749697281467
69	24.8981941372928
70	24.3885901954389
71	24.6697085405307
72	25.1512424500639
73	25.4080906091319
74	26.2949538930129
75	26.7473017184869
76	26.9093042941715
77	27.384623766809
78	27.8075773015946
79	28.1467040100871
80	28.4553471772482
81	28.9661721266071
82	29.7404412063301
83	30.1639239259332
84	30.4693177522297
85	30.9303604507856
86	31.3778058621706
87	31.568312100686
88	31.9672382918115
89	32.7411406891051
90	32.8861028247007
91	34.2643862130803
92	34.6457850017044
93	35.3265466995661
94	35.2847664698249
95	35.2268238954111
96	34.5840420119463
97	34.4259683323666
98	34.2703562953262
99	33.7478712402621
100	32.7690726336679
101	32.3797453325045
102	31.2785327103487
103	29.440421466572
104	29.2418476932911
105	28.0724334723098
106	26.6089305519663
107	26.0911561893411
108	26.0371907719222
109	26.0420419651313
110	26.6486893704048
111	27.5194096781546
112	28.0246532499109
113	28.5370481943446
114	29.7601145338239
115	30.2759301373918
116	31.4230863562309
117	31.4660892592329
118	31.855532174385
119	31.7732869267982
120	31.7422247547235
121	31.4802336749644
122	31.2179375329854
123	30.9878384874402
124	30.7705394198011
125	30.376901826872
126	30.0844222965043
127	29.4790429590416
128	28.6378535236586
129	28.0324985397335
130	27.4827939144264
131	27.2832273651909
132	27.3004344788633
133	27.6220600320278
134	27.8508172939765
135	28.1390746799281
136	28.1534187251327
137	28.0436227975978
138	27.8443526457992
139	27.3538857222901
140	27.2600078786967
141	27.0369321783286
142	26.9426997632135
143	26.9491388191978
144	27.0344734947033
145	27.1811153233272
146	27.2534768899606
147	27.197933422341
148	26.7639335742091
149	26.4763709339663
150	25.8153655448914
151	25.3170159182003
152	24.5125353488657
153	24.4398477324886
154	24.2386161713772
155	24.156148523146
156	24.145911919163
157	24.1573197353988
158	24.0971199076898
159	23.8288347604943
160	23.1851756773658
161	22.1670040630335
162	21.144944531717
163	20.4316025904431
164	20.0530230848671
165	19.3448259567929
166	18.019038313013
167	17.8486132357878
168	18.0538027584505
169	19.5711410199631
170	21.0330371045205
171	21.8024448097893
172	22.2844027498907
173	22.7998283799781
174	23.4385291316783
175	23.719877341282
176	24.5744629352366
177	24.7458564999332
178	25.2698406752545
179	25.9925512287969
180	26.1614971408486
181	26.3081028175356
182	26.2563574041767
183	26.0020753049776
184	25.5111994815391
185	25.0919112852291
186	24.6964127082511
187	24.5250554071529
188	24.284855940095
189	24.1034723834745
190	24.0471875792452
191	24.057019475844
192	24.2476724666306
193	24.3449442456372
194	24.6386045320478
195	24.776522333213
196	24.9992899886752
197	25.0507950453663
198	24.9999119675891
199	24.7215953176002
200	24.2819616748098
201	23.5520658391776
202	23.1673718737842
203	22.6281849707684
204	22.3871458092334
205	22.2447932315817
206	22.198740270973
207	22.4264274204927
208	22.6575655154759
209	23.0213311682751
210	23.4332217382415
211	23.6259810290165
212	24.0983181546679
213	24.3080254432084
214	24.5815273486256
215	24.7419862089649
216	24.8790189708353
217	24.9464624480399
218	24.9223675715353
219	24.8530116275565
220	24.7471478852354
221	24.6146811725375
222	24.5004317403451
223	24.3914937994554
224	24.2881154797185
225	24.1895335364811
226	24.0801385778211
227	23.9621967091201
228	23.8576985205071
229	23.7781324441837
230	23.7314269049399
231	23.6883629154695
232	23.5825513193202
233	23.2797500994908
234	23.0079153422339
235	21.8920560667307
236	21.1111803580744
237	20.525169593671
238	19.846600228356
239	19.1130952456321
240	19.2997387326997
241	19.7211519542367
242	20.9209759896548
243	21.9988964837047
244	23.5474284893495
245	24.2935821974252
246	25.3926381245033
247	25.9955021472927
248	26.7972193242493
249	27.2237919191316
250	27.6498342552309
251	27.7184824786794
252	25.0982868881414
253	22.7413440033049
254	18.7921207986214
255	18.2999928822215
256	20.4239143353053
257	21.7759939512707
258	22.1312822878482
259	21.5836824012759
260	21.3618290879375
261	20.6108320675079
262	20.0182652942631
263	19.5242162749684
264	19.0177055737488
265	18.3042112724931
266	17.7184090155054
267	17.1574634654697
268	16.4747969063126
269	15.2990844940682
270	14.6476603070012
271	13.7033869996688
272	13.5038443187513
273	14.2045053218572
274	14.5141678526698
275	15.9611294392268
276	16.4225891935466
277	17.1667336654767
278	17.8299565499648
279	18.3636395383154
280	19.000325865039
281	19.1218927962568
282	19.4505430556772
