age	BS_Global
81	1731.47267042923
82	1729.57322648894
83	1729.19196098569
84	1730.15445731127
85	1732.28629885748
86	1735.41306901609
87	1739.36035117891
88	1743.9350666605
89	1748.86948846658
90	1753.87722752566
91	1758.67189476622
92	1762.96710111678
93	1766.57146444438
94	1769.67363037026
95	1772.55725145421
96	1775.50598025602
97	1778.80346933547
98	1782.60487329191
99	1786.55135488292
100	1790.15557890567
101	1792.93021015729
102	1794.38791343493
103	1794.04135353574
104	1791.80835171062
105	1789.22735502543
106	1788.2419669998
107	1790.79579115333
108	1798.18497078555
109	1809.11580831562
110	1821.64714594261
111	1833.83782586559
112	1844.16130717878
113	1852.74951655702
114	1860.14899757034
115	1866.90629378872
116	1873.56794878219
117	1880.4648088339
118	1887.06493107964
119	1892.62067536834
120	1896.38440154896
121	1897.60846947043
122	1895.54523898169
123	1889.81693230286
124	1881.52522113878
125	1872.14163956547
126	1863.13772165894
127	1855.9850014952
128	1851.76916006043
129	1850.03246598144
130	1849.9313347952
131	1850.62218203867
132	1851.41575277476
133	1852.24011017014
134	1853.17764691741
135	1854.31075570921
136	1855.72182923812
137	1857.49294144683
138	1859.70489127823
139	1862.43815892528
140	1865.77322458095
141	1869.79056843818
142	1874.57067068994
143	1879.86512378596
144	1884.10996920303
145	1885.41236067475
146	1882.60401673346
147	1877.41491510661
148	1872.29959832045
149	1869.71260890121
150	1871.40560356001
151	1876.31869574749
152	1882.6891130992
153	1888.75408325065
154	1892.75083383739
155	1892.91659249495
156	1888.01681520196
157	1878.92987130949
158	1867.0623585117
159	1853.82087450276
160	1840.61201697684
161	1828.80002838617
162	1819.57973021525
163	1814.10358870663
164	1813.52407010289
165	1818.99364064657
166	1830.82408295299
167	1845.96444512846
168	1860.523091652
169	1870.87882750776
170	1874.49221970024
171	1869.09427573902
172	1852.4160031337
