age	SL_Young_M21RD
5	7.42381526584187
6	8.34817625481686
7	9.39150755900359
8	10.5406181102962
9	11.7823168405888
10	13.1034126817757
11	14.4907145657509
12	15.9310314244087
13	17.4111139801808
14	18.9146334148529
15	20.4207110792823
16	21.9081019410748
17	23.3555609678366
18	24.7418431271736
19	26.0457033866918
20	27.2458967139971
21	28.3211780766956
22	29.2544581072997
23	30.0573606018653
24	30.7536357893424
25	31.3670768680287
26	31.9214770362222
27	32.440629492221
28	32.9483274343228
29	33.4683577080916
30	34.017306845436
31	34.5907354192007
32	35.1803866309083
33	35.7780036820815
34	36.3753297742429
35	36.964108108915
36	37.5360818876206
37	38.0829943118823
38	38.5965885832226
39	39.0686079031643
40	39.4907954732299
41	39.854894494942
42	40.1526481702671
43	40.3763130455037
44	40.5201406555324
45	40.5788670979517
46	40.5472284703597
47	40.4199608703549
48	40.1918003955355
49	39.8574831434999
50	39.4137992651524
51	38.8861167137991
52	38.3207492225255
53	37.7644918343158
54	37.2641395921543
55	36.8664875390251
56	36.6183307179125
57	36.5664641718007
58	36.7576829436741
59	37.2244504490022
60	37.9286692277527
61	38.8105630009849
62	39.810349642441
63	40.8682470258636
64	41.9244730249949
65	42.9192455135775
66	43.7927823653537
67	44.4853317173721
68	44.9655150172246
69	45.2829755347466
70	45.5017248827754
71	45.6857746741486
72	45.8991365217037
73	46.2058220382781
74	46.6698428367093
75	47.3534713985773
76	48.2622438311271
77	49.3337307856133
78	50.50149498247
79	51.6990991421314
80	52.8601059850318
81	53.9180782316053
82	54.8065845726835
83	55.4786556714946
84	55.950062986915
85	56.2491968804914
86	56.4044477137707
87	56.4442058482998
88	56.3968616456255
89	56.2908054672946
90	56.1544276748541
91	56.0161186298507
92	55.9042686938313
93	55.8472682283428
94	55.8735075798849
95	56.0047091027213
96	56.2369655212287
97	56.5602126305584
98	56.9643862258615
99	57.4394221022892
100	57.9752560549928
101	58.5618238791234
102	59.1890613698322
103	59.8468358737323
104	60.522406873437
105	61.1996765316596
106	61.8623256666111
107	62.4940350965027
108	63.0784856395456
109	63.5993581139511
110	64.0403333379302
111	64.3850921296942
112	64.6173153074542
113	64.7206836894215
114	64.6788780938072
115	64.4755793388225
116	64.0944682426785
117	63.5192256235866
118	62.7335322997578
119	61.7210690894033
120	60.4655168107343
121	58.950556281962
122	57.1598686072432
123	55.0874307509746
124	52.7647239585816
125	50.2317665931359
126	47.5285770177094
127	44.6951735953738
128	41.771574689201
129	38.7977986622628
130	35.810375024547
131	32.8099088051966
132	29.7758538035374
133	26.6873920769208
134	23.5237056826977
135	20.2639766782193
136	16.8873871208367
137	13.3731190679011
138	9.70035457676347
139	5.84827570477506
140	1.79821468104072
141	-2.45577527686913
142	-6.91497983529504
143	-11.5806776328551
144	-16.4541473081674
145	-21.53666749985
146	-26.8295168465211
147	-32.3339739867986
148	-38.0490448406583
149	-43.924482618804
150	-49.8624092825484
151	-55.7629984804618
152	-61.5264238611144
153	-67.0528590730765
154	-72.2424777649183
155	-76.9954535852102
156	-81.2119601825223
157	-84.7983724770473
158	-87.7395318413532
159	-90.0741053684618
160	-91.8418127418435
161	-93.0823736449685
162	-93.8355077613072
163	-94.1409347743298
164	-94.0383743675067
165	-93.5675462243083
166	-92.7681710097008
167	-91.681983875227
168	-90.3569687586613
169	-88.8423176049826
170	-87.1872223591695
171	-85.4408749662008
172	-83.6524673710554
173	-81.871191518712
174	-80.1456544581631
175	-78.5072200465875
176	-76.9675962485117
177	-75.537420996542
178	-74.2273322232851
179	-73.0479678613474
180	-72.0099658433355
181	-71.1239609072631
182	-70.3930239808648
183	-69.7964657126475
184	-69.3089433210516
185	-68.9051140245172
