age	SL_Karslen
2	6.23084871942562
3	8.91899872800478
4	11.7700441753752
5	14.7437178533176
6	17.796247673482
7	20.8820708389839
8	23.9556101644509
9	26.975501852669
10	29.9189934759316
11	32.768469790983
12	35.5063918481538
13	38.1363992058915
14	40.7121374627729
15	43.2944668499027
16	45.9424672854385
17	48.6420065899986
18	51.2814649687146
19	53.7424620589114
20	55.9142932754625
21	57.8006170892058
22	59.4928792857933
23	61.0847694757337
24	62.6642945857703
25	64.2781941328943
26	65.9549937454117
27	67.7231390339822
28	69.6362231714133
29	71.8457446311281
30	74.5270247971661
31	77.8547061372265
32	81.888665031971
33	86.4457448416731
34	91.3118333360967
35	96.2740486926118
36	101.15694665889
37	105.828434397744
38	110.158840229776
39	114.02894822284
40	117.439724107753
41	120.469026246139
42	123.195965921573
43	125.701180163125
44	128.073951101421
45	130.406602191206
46	132.791448685422
47	135.302565574809
48	137.958852951833
49	140.768818628733
50	143.740826576699
51	146.8725823897
52	150.143985786221
53	153.5332440434
54	157.019518807533
55	160.601885006955
56	164.29826080617
57	168.127304524982
58	172.10837816345
59	176.267174193981
60	180.632733972162
61	185.23412931121
62	190.088477320597
63	195.159578325246
64	200.396374518488
65	205.747635728674
66	211.122525647655
67	216.340215927852
68	221.207445733388
69	225.535224426244
70	229.280204608851
71	232.577232377379
72	235.572017221026
73	238.405387630433
74	241.155446673504
75	243.856794017283
76	246.543154837935
77	249.221464524651
78	251.730220556921
79	253.842616039952
80	255.331717466371
81	256.068111972582
82	256.249649972208
83	256.142754762261
84	256.013029077361
85	256.027840792578
86	256.164334924452
87	256.377879584773
88	256.624913278334
89	256.894615853049
90	257.214179443205
91	257.61292813356
92	258.117361073777
93	258.717220034588
94	259.376529046455
95	260.058783803582
96	260.727224035667
97	261.343379562684
98	261.868079602122
99	262.262151518974
100	262.501307800958
101	262.616208394655
102	262.65018917091
103	262.646515703135
104	262.63652454523
105	262.626267495805
106	262.618572293363
107	262.616205853963
108	262.619692782679
109	262.626713608677
110	262.634765549443
111	262.645326342291
112	262.719453984804
113	262.96408165144
114	263.487323173363
115	264.342030119914
116	265.162956679116
117	265.393610699189
118	264.476512186344
119	261.951148239154
120	257.762546616941
121	251.961737770504
122	244.655093141822
123	236.412075063261
124	228.031401649117
125	219.992777706258
126	212.062660281239
127	203.961798432577
128	195.925973567082
129	188.492133806339
130	182.019069250348
131	176.294073989108
132	170.992529614792
133	165.815647957837
134	160.664284778459
135	155.532316018793
136	150.414137808583
137	145.3233789943
138	140.366659339708
139	135.678665784076
140	131.394060859455
141	127.595027777206
142	124.203514985254
143	121.110996579326
144	118.209141282685
145	115.411907543414
146	112.675881995082
147	109.962457865274
148	107.234258940718
149	104.495345100978
150	101.800167315215
151	99.2062196323922
152	96.7653959426525
153	94.444218398673
154	92.1426739331992
155	89.7589901638489
156	87.2206737513097
157	84.6954076288748
158	82.4685896633179
159	80.8264263111775
160	79.9857991767865
161	79.8331371401442
162	80.156514988786
163	80.7440590125859
164	81.426287410026
165	82.1484064079815
166	82.8748271549707
167	83.5694795700261
168	84.1663816098285
169	84.5525806657358
170	84.6110118608367
171	84.2310678378436
172	83.4366444732241
173	82.3787845234476
174	81.2135155346336
175	80.0885102465991
176	79.0666932063193
177	78.1616679924855
178	77.3864264278091
179	76.7599226081239
180	76.3345000116178
181	76.1741184243964
182	76.3427333859487
183	76.8612788264821
184	77.6140814914247
185	78.4584159350709
186	79.2523477655587
187	79.9304905076768
188	80.5667908583538
189	81.2499738964968
190	82.066647393987
191	83.0470461651004
192	84.1604067441588
193	85.372921490377
194	86.6513580090737
195	87.9691171620265
196	89.3038538384189
197	90.6332926913068
198	91.9378697711817
199	93.2141100626171
200	94.4644500916547
201	95.6913359893137
202	96.8990263410733
203	98.0976572377046
204	99.2985540568718
205	100.513067236249
206	101.755047603186
207	103.042939483665
208	104.395680071892
209	105.83166623034
210	107.355004856933
211	108.954394636379
212	110.617769873863
213	112.332728251633
214	114.083057686902
215	115.850136442862
216	117.615304735336
217	119.373144151827
218	121.194776838626
219	123.178764685893
220	125.423686135352
221	127.988119218945
222	130.80607994118
223	133.787407273061
224	136.842104416941
225	139.893254847949
226	142.886328030367
227	145.768988963241
