age	PI_Global
81	0.714310765266418
82	0.714963284515303
83	0.715454919405068
84	0.715802198710103
85	0.7160216512048
86	0.716129805663551
87	0.716143190860748
88	0.716078974482605
89	0.715956879862636
90	0.715797269246175
91	0.71562050487856
92	0.715446949005127
93	0.715293711229197
94	0.71516489058604
95	0.715061333468909
96	0.714983886271058
97	0.714933395385742
98	0.714909214629373
99	0.714904727510995
100	0.71491182496281
101	0.71492239791702
102	0.714928337305827
103	0.714921534061432
104	0.714901499540759
105	0.714898226799612
106	0.714949329318519
107	0.715092420578003
108	0.715348877537921
109	0.715675131075443
110	0.716011375547068
111	0.716297805309296
112	0.716491208098177
113	0.71661474516796
114	0.716708171152446
115	0.716811240685434
116	0.716963708400726
117	0.717192632761258
118	0.717474287546517
119	0.717772250365127
120	0.718050098825712
121	0.718271410536895
122	0.7183997631073
123	0.718411200223941
124	0.718331629887394
125	0.718199426176623
126	0.718052963170595
127	0.717930614948273
128	0.717862738444113
129	0.717847622014528
130	0.717875536871418
131	0.717936754226685
132	0.718019657320919
133	0.718105077509459
134	0.718171958176334
135	0.718199242705572
136	0.718165874481201
137	0.718059456786718
138	0.717902232503492
139	0.717725104412363
140	0.71755897529417
141	0.717434747929751
142	0.717383325099945
143	0.717419248828195
144	0.717491618108362
145	0.71753317117691
146	0.717495679547588
147	0.717407047843281
148	0.71731421396416
149	0.717264115810394
150	0.717290520874457
151	0.717374515018034
152	0.717484013695116
153	0.717586932359692
154	0.717651186465752
155	0.717644691467285
156	0.717548222907889
157	0.717393996689594
158	0.717227088804036
159	0.717092575242852
160	0.717035531997681
161	0.717086008659194
162	0.717213949214206
163	0.717374271248565
164	0.717521892348121
165	0.717611730098724
166	0.717612129808057
167	0.71754514767114
168	0.717446267604828
169	0.717346653946341
170	0.717260192714363
171	0.717196450347944
172	0.717164993286133
