age	LA_Global
81	363198.513152
82	344129.84599371
83	328849.395043317
84	316987.390586786
85	308174.062910081
86	302039.642299164
87	298214.35904
88	296307.681449998
89	295846.029972355
90	296335.063081713
91	297280.439252714
92	298187.81696
93	298668.551972669
94	298756.789237634
95	298592.370996265
96	298315.139489931
97	298064.93696
98	297949.672505057
99	297949.522652546
100	298012.730787126
101	298087.540293455
102	298122.194556194
103	298064.93696
104	297898.924403547
105	297746.967841567
106	297766.791742803
107	298116.120576
108	298774.671779727
109	299010.134671846
110	297912.191540042
111	294570.524672
112	288517.352214435
113	281055.035750185
114	273928.472721118
115	268882.5605691
116	267662.196736
117	271472.527651411
118	279359.695695829
119	289830.092237475
120	301390.108644571
121	312546.136285339
122	321804.566528
123	328037.681360156
124	331581.325246931
125	333137.233272828
126	333407.140522349
127	333092.78208
128	332785.930005377
129	332638.504258456
130	332692.461774307
131	332989.759488
132	333542.283488336
133	334241.636479043
134	334949.350317582
135	335526.956861415
136	335835.987968
137	335778.990156081
138	335422.568589527
139	334874.34309349
140	334241.933493122
141	333632.959613575
142	333155.04128
143	332885.37599523
144	332779.471972818
145	332762.415104
146	332764.471225552
147	332736.625956414
148	332635.044861069
149	332415.893504
150	332054.845685816
151	331605.60815164
152	331141.395882721
153	330735.423860308
154	330460.907065651
155	330391.06048
156	330449.280412167
157	329959.68848122
158	328096.587633789
159	324034.280816505
160	316947.070976
161	306355.937380654
162	293168.564585849
163	278639.313468717
164	264022.54490639
165	250572.619776
166	239302.563785947
167	230260.061969701
168	223251.464192
169	218160.755711934
170	215182.463366007
171	214588.749385077
172	216651.776
