Latitude	Longitude	Min_Ma	Max_Ma
-44.5596	-69.9847	121.4	125.8
-12.6088	-38.6428	128.5	140.2
-12.6088	-38.6428	143.9	145
-12.6088	-38.6428	143.9	145
-12.6088	-38.6428	143.9	145
-12.3585	-38.3824	143.9	145
-12.6088	-38.6428	143.9	145
-12.6088	-38.6428	143.9	145
-12.6088	-38.6428	134	138.4
-12.6088	-38.6428	130.9	138.4
-12.6088	-38.6428	130.9	138.4
-8.8026	-37.8249	130.9	138.4
-12.6088	-38.6428	123.6	128.5
-12.6088	-38.6428	128.5	134
-12.6088	-38.6428	128.5	134
-12.6088	-38.6428	128.5	134
-12.6088	-38.6428	128.5	140.2
-12.6088	-38.6428	128.5	130.9
-12.6088	-38.6428	132.2	138.4
-12.6088	-38.6428	125.8	130.9
-12.6088	-38.6428	125.8	130.9
-12.7697	-38.4919	125.8	130.9
-12.6088	-38.6428	123	125.8
-8.773	-37.8212	123	125.8
-12.6513	-38.5367	123	125.8
-12.6088	-38.6428	123	125.8
-12.6088	-38.6428	123	125.8
-12.6088	-38.6428	126.4	129.7
-12.6513	-38.5367	126.4	129.7
-12.6088	-38.6428	128.5	132.2
-12.6088	-38.6428	128.5	132.2
-12.6088	-38.6428	128.5	132.2
-50.3048	-58.9437	121.4	139.8
-12.6088	-38.6428	143.9	145
