p_lat	p_lng
41.4068	10.4064
41.5471	9.9922
42.0664	8.7824
41.5572	10.1005
41.6263	10.0109
41.5572	10.1005
34.4322	14.3565
44.6984	24.9236
44.0996	17.1203
44.1118	17.3645
37.0404	34.4149
38.4033	15.2992
42.2879	9.3015
43.0299	8.455
42.1939	9.5272
42.2147	9.4462
43.0152	8.4269
42.2659	8.0861
38.4812	15.4531
42.2003	9.5422
41.7917	7.5418
42.1216	9.736
38.6069	15.6636
42.1863	9.577
42.1408	9.7061
42.1888	8.9141
34.8771	6.8926
34.8819	6.8723
34.9534	7.0742
35.3249	6.9889
34.8469	6.8068
42.3459	8.0854
42.189	9.5666
42.1873	9.5778
41.805	7.3114
42.189	9.5666
42.181	9.5679
43.0924	8.4335
41.8234	7.1813
40.5467	12.2466
40.3973	12.1542
40.3973	12.1542
40.5858	12.049
40.6489	12.1346
40.5935	12.1835
40.409	12.2577
40.5896	12.1571
40.4549	12.3384
40.4549	12.3384
41.8544	7.0287
41.8365	7.1885
41.8365	7.1885
41.8488	7.1021
42.7582	7.6411
38.6238	15.6833
38.6238	15.6833
42.2559	8.996
37.7876	14.4144
37.7876	14.4144
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
43.5516	17.4129
40.6218	10.9513
40.78	12.3366
40.9583	11.8358
41.9175	11.4039
40.8622	12.2165
40.6218	10.9513
40.6218	10.9513
41.0217	11.9214
41.7645	8.7697
41.5963	10.0577
41.7396	9.8308
41.557	10.1019
41.8445	8.7704
41.6359	10.3831
41.7616	10.1337
41.7451	9.6721
41.6435	10.3575
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
37.9871	39.9132
41.5861	10.0746
41.7295	9.8478
41.5468	10.1189
41.6257	10.4
41.7514	10.1506
41.735	9.6891
41.6333	10.3744
43.7655	15.0832
36.9125	34.4091
42.1886	9.3477
42.0942	9.5728
42.1152	9.492
42.1685	8.1342
43.3272	14.9268
41.6952	7.5893
42.0216	9.781
42.0865	9.6224
42.0409	9.7512
42.0901	8.9607
34.7588	6.9288
34.7571	6.9225
34.8352	7.1101
34.7415	7.0176
34.7708	7.0091
34.7286	6.8432
37.6807	14.4415
37.6807	14.4415
42.2485	8.1336
42.0875	9.6232
41.7088	7.3593
42.0813	9.6133
33.7749	7.4879
42.3395	9.3882
41.9739	8.2927
41.769	7.1343
42.1993	7.5014
42.1663	7.4559
37.7009	14.4312
42.1742	9.0266
