Latitude	Longitude	Min_Ma	Max_Ma
51.0382	0.3271	134.6	137.7
51.0289	-0.2206	134.6	137.7
50.916	0.5883	134.6	137.7
51.0304	-0.1529	127.3	128.5
50.8755	0.2367	127.3	128.5
50.8283	0.3167	127.3	128.5
50.8746	0.139	127.3	128.5
51.0289	-0.2206	127.3	128.5
51.0987	-0.3262	127.3	128.5
50.9529	0.4004	138.8	141.7
50.9759	0.3055	138.8	141.7
51.061	-1.2908	138.8	141.7
50.599	-1.9533	138.8	141.7
50.8752	0.6412	138.8	141.7
50.9635	-0.3212	138.8	141.7
51.1405	-1.2881	138.8	141.7
50.945	0.4591	138.8	141.7
50.6384	-2.375	138.8	141.7
50.8455	-1.0952	138.8	141.7
51.0289	-0.2206	138.8	141.7
50.616	-2.1851	138.8	141.7
52.6781	9.4677	140.2	142.1
52.6783	9.7581	140.2	142.1
52.7451	7.4001	140.2	142.1
52.5102	7.0621	140.2	142.1
52.5829	7.0712	140.2	142.1
52.3591	7.1444	140.2	142.1
52.8584	7.3243	140.2	142.1
52.5198	7.3181	140.2	142.1
52.3409	7.5784	140.2	142.1
52.6484	7.0753	140.2	142.1
42.853	-2.68	140.6	142.1
40.2234	-1.9764	113	123.6
52.6783	9.7581	142.1	145
50.609	-1.3654	121.4	123.3
42.2118	-2.2377	121.4	132.6
42.1511	-2.2698	121.4	132.6
42.059	-1.8637	121.4	132.6
51.1879	0.6817	121.4	132.5
51.061	-1.2908	121.4	123.3
51.1329	-0.3235	121.4	132.5
50.8739	0.2308	121.4	123.3
51.0304	-0.1529	121.4	132.5
50.599	-1.9533	121.4	123.3
51.1869	0.6859	121.4	132.5
51.0213	-0.0329	121.4	123.3
50.8343	0.2822	121.4	123.3
50.8755	0.2367	121.4	132.5
50.9635	-0.3212	121.4	132.5
51.1405	-1.2881	121.4	123.3
50.908	0.6178	121.4	123.3
50.8283	0.3167	121.4	132.5
51.0731	-0.0673	121.4	123.3
51.1508	0.736	121.4	132.5
50.8746	0.139	121.4	132.5
51.0896	0.6517	121.4	123.3
51.242	0.1977	121.4	132.5
50.6162	-1.371	121.4	123.3
51.0199	-0.3495	121.4	132.5
51.0873	0.5531	121.4	123.3
51.1251	-0.4152	121.4	132.5
51.0382	0.3271	121.4	123.3
51.0987	-0.3262	121.4	132.5
51.0289	-0.2206	121.4	132.5
50.916	0.5883	121.4	123.3
51.2235	0.4303	121.4	132.5
51.1858	0.5313	123.3	124.1
51.0115	-0.454	123.3	124.1
51.0289	-0.2206	123.3	124.1
50.9759	0.3055	142.5	143.4
50.8752	0.6412	142.5	143.4
50.9441	0.4584	142.5	143.4
50.9678	0.249	142.5	143.4
50.9635	-0.3212	142.5	143.4
51.0102	0.7413	142.5	143.4
51.0102	0.7413	142.5	143.4
50.9783	0.3094	142.5	143.4
50.945	0.4591	142.5	143.4
50.9394	0.4467	142.5	143.4
50.9742	0.3289	142.5	143.4
50.6653	-1.4835	122.6	123.3
51.1839	1.3654	122.6	123.3
50.8746	0.139	122.6	123.3
50.6162	-1.371	122.6	123.3
42.1511	-2.2698	121.4	132.6
42.059	-1.8637	121.4	132.6
42.2324	-2.4758	121.4	132.6
50.609	-1.3654	121.4	123
50.8482	0.167	121.4	123
51.0469	-0.1982	121.4	123
50.609	-1.3654	121.4	123
50.609	-1.3654	121.4	123
51.0289	-0.2206	121.4	123
42.9902	-1.9236	113	123.6
50.9529	0.4004	140.8	142
50.9759	0.3055	140.8	142
51.061	-1.2908	140.8	142
50.599	-1.9533	140.8	142
50.8752	0.6412	140.8	142
50.9635	-0.3212	140.8	142
50.945	0.4591	140.8	142
51.0289	-0.2206	140.8	142
50.9529	0.4004	142.6	143.4
50.9759	0.3055	142.6	143.4
50.599	-1.9533	142.6	143.4
50.8752	0.6412	142.6	143.4
50.9441	0.4584	142.6	143.4
50.8954	0.6074	142.6	143.4
50.9635	-0.3212	142.6	143.4
51.1405	-1.2881	142.6	143.4
50.9783	0.3094	142.6	143.4
50.945	0.4591	142.6	143.4
50.9394	0.4467	142.6	143.4
50.9742	0.3289	142.6	143.4
51.0289	-0.2206	142.6	143.4
42.059	-1.8637	121.4	132.6
42.1511	-2.2698	121.4	132.6
42.1511	-2.2698	121.4	125.8
42.1511	-2.2698	121.4	125.8
42.1511	-2.2698	121.4	125.8
42.6223	-2.7101	121.4	125.8
40.6191	-0.1016	121.4	125.8
40.6191	-0.1016	121.4	125.8
50.9759	0.3055	137.7	141.7
51.061	-1.2908	137.7	141.7
50.599	-1.9533	137.7	141.7
50.8752	0.6412	137.7	141.7
50.9678	0.249	137.7	141.7
50.9635	-0.3212	137.7	141.7
51.1405	-1.2881	137.7	141.7
50.945	0.4591	137.7	141.7
51.1855	0.2136	137.7	141.7
50.8455	-1.0952	137.7	141.7
50.8455	-1.0952	137.7	141.7
51.0289	-0.2206	137.7	141.7
52.6781	9.4677	140.6	141.4
52.613	8.5891	140.6	141.4
52.5102	7.0621	140.6	141.4
52.5829	7.0712	140.6	141.4
52.794	7.861	140.6	141.4
52.8584	7.3243	140.6	141.4
52.5198	7.3181	140.6	141.4
52.5909	8.4805	140.6	141.4
52.6484	7.0753	140.6	141.4
51.1329	-0.3235	127.9	132.6
51.0304	-0.1529	127.9	132.6
50.8755	0.2367	127.9	132.6
50.9635	-0.3212	127.9	132.6
50.6384	-2.375	127.9	132.6
50.8746	0.139	127.9	132.6
51.0199	-0.3495	127.9	132.6
51.5499	-1.7818	127.9	132.6
51.0289	-0.2206	127.9	132.6
51.0987	-0.3262	127.9	132.6
51.0289	-0.2206	127.9	132.6
40.5662	8.1614	136.2	142.4
52.8813	18.6953	141.6	143.1
52.6781	9.4677	142.5	144.1
52.6783	9.7581	142.5	144.1
44.2544	28.2152	142.6	147.1
46.9597	6.8286	142.6	147.1
51.0529	0.1396	142.6	147.1
51.816	-0.8166	142.6	147.1
50.9529	0.4004	142.6	147.1
50.9759	0.3055	142.6	147.1
51.8019	-0.8514	142.6	147.1
51.061	-1.2908	142.6	147.1
47.0306	7.0121	142.6	147.1
50.9589	0.4181	142.6	147.1
50.599	-1.9533	142.6	147.1
50.8752	0.6412	142.6	147.1
47.1473	7.2637	142.6	147.1
50.9441	0.4584	142.6	147.1
50.8954	0.6074	142.6	147.1
50.9635	-0.3212	142.6	147.1
42.7559	-3.8939	142.6	147.1
42.7515	-3.9174	142.6	147.1
42.8956	-3.7693	142.6	147.1
43.1844	-4.1042	142.6	147.1
42.6954	-3.9571	142.6	147.1
51.1405	-1.2881	142.6	147.1
50.9475	0.4457	142.6	147.1
50.945	0.4591	142.6	147.1
50.6168	-2.2233	142.6	147.1
50.9475	0.4463	142.6	147.1
50.9394	0.4467	142.6	147.1
51.8788	-0.8387	142.6	147.1
50.6384	-2.375	142.6	147.1
49.2218	3.4715	142.6	147.1
49.0762	3.3529	142.6	147.1
49.0762	3.3529	142.6	147.1
49.2676	3.244	142.6	147.1
49.3276	3.3481	142.6	147.1
49.2708	3.4013	142.6	147.1
49.0841	3.474	142.6	147.1
49.2676	3.3699	142.6	147.1
49.1269	3.5708	142.6	147.1
49.1269	3.5708	142.6	147.1
50.6716	-2.5533	142.6	147.1
50.651	-2.366	142.6	147.1
50.651	-2.366	142.6	147.1
50.6646	-2.4669	142.6	147.1
51.5634	-1.7923	142.6	147.1
47.1633	7.2879	142.6	147.1
47.1633	7.2879	142.6	147.1
51.0289	-0.2206	142.6	147.1
46.3835	5.767	142.6	147.1
46.3835	5.767	142.6	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
51.9377	9.7922	144.1	147.1
50.609	-1.3654	121.4	124.1
50.7955	0.2858	121.4	124.1
50.9635	-0.3212	121.4	124.1
51.9144	-0.8819	121.4	124.1
50.8746	0.139	121.4	124.1
50.609	-1.3654	121.4	124.1
50.609	-1.3654	121.4	124.1
51.0289	-0.2206	121.4	124.1
51.061	-1.2908	134.4	136.4
50.8739	0.2308	134.4	136.4
51.0213	-0.0329	134.4	136.4
50.8343	0.2822	134.4	136.4
51.1405	-1.2881	134.4	136.4
50.908	0.6178	134.4	136.4
51.0382	0.3271	134.4	136.4
51.0289	-0.2206	134.4	136.4
50.916	0.5883	134.4	136.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
44.9819	34.4717	139.8	142.4
50.8739	0.2308	134.6	135.8
51.0213	-0.0329	134.6	135.8
50.8343	0.2822	134.6	135.8
50.908	0.6178	134.6	135.8
51.0382	0.3271	134.6	135.8
51.0289	-0.2206	134.6	135.8
50.916	0.5883	134.6	135.8
52.6024	6.8441	140.2	141.4
44.2544	28.2152	141.8	145
51.0529	0.1396	141.8	145
50.9529	0.4004	141.8	145
50.9759	0.3055	141.8	145
51.061	-1.2908	141.8	145
52.0007	6.8032	141.8	145
50.599	-1.9533	141.8	145
50.8752	0.6412	141.8	145
50.9441	0.4584	141.8	145
50.8954	0.6074	141.8	145
50.9635	-0.3212	141.8	145
42.7559	-3.8939	141.8	145
42.7521	-3.8989	141.8	145
42.8956	-3.7693	141.8	145
42.7773	-3.7962	141.8	145
42.799	-3.8238	141.8	145
42.6954	-3.9571	141.8	145
46.3835	5.767	141.8	145
46.3835	5.767	141.8	145
51.1405	-1.2881	141.8	145
50.945	0.4591	141.8	145
50.6168	-2.2233	141.8	145
50.9394	0.4467	141.8	145
42.111	-2.671	142.4	145
51.1855	0.2136	142.4	145
50.8455	-1.0952	142.4	145
50.6646	-2.4669	142.4	145
51.0882	-2.0167	142.4	145
51.0563	-2.0723	142.4	145
46.3835	5.767	142.4	145
51.0289	-0.2206	142.4	145
46.3835	5.767	142.4	145
50.616	-2.1851	142.4	145
52.6781	9.4677	142.5	144.1
52.6783	9.7581	142.5	144.1
52.436	18.4311	143.1	144.4
50.668	-1.2504	121.4	123.3
50.609	-1.3654	121.4	123.3
51.1839	1.3654	121.4	123.3
51.0289	-0.2206	121.4	123.3
50.908	0.6178	134.6	136.1
51.0382	0.3271	134.6	136.1
51.0289	-0.2206	134.6	136.1
50.916	0.5883	134.6	136.1
51.1329	-0.3235	125.8	126.5
50.8755	0.2367	125.8	126.5
50.8283	0.3167	125.8	126.5
50.8746	0.139	125.8	126.5
51.0289	-0.2206	125.8	126.5
51.0529	0.1396	140.4	142.2
50.9759	0.3055	140.4	142.2
51.061	-1.2908	140.4	142.2
50.8752	0.6412	140.4	142.2
50.9697	0.3301	140.4	142.2
46.3835	5.767	140.4	142.2
51.1405	-1.2881	140.4	142.2
50.945	0.4591	140.4	142.2
51.1855	0.2136	140.4	142.2
51.3614	8.8031	140.6	141.4
52.7451	7.4001	140.6	141.4
52.9222	7.53	140.6	141.4
52.5829	7.0712	140.6	141.4
52.794	7.861	140.6	141.4
52.794	7.861	140.6	141.4
52.5198	7.3181	140.6	141.4
52.3409	7.5784	140.6	141.4
52.6484	7.0753	140.6	141.4
42.1511	-2.2698	121.4	132.6
42.059	-1.8637	121.4	132.6
42.1511	-2.2698	121.4	125.8
44.2544	28.2152	132.6	141.6
45.6223	-0.084	132.6	141.6
50.9759	0.3055	132.6	141.6
42.059	-1.8637	132.6	141.6
51.061	-1.2908	132.6	141.6
50.8739	0.2308	132.6	141.6
50.599	-1.9533	132.6	141.6
50.8752	0.6412	132.6	141.6
51.0213	-0.0329	132.6	141.6
50.8343	0.2822	132.6	141.6
50.8954	0.6074	132.6	141.6
50.9635	-0.3212	132.6	141.6
51.1405	-1.2881	132.6	141.6
50.908	0.6178	132.6	141.6
50.945	0.4591	132.6	141.6
50.9394	0.4467	132.6	141.6
50.6384	-2.375	132.6	141.6
51.1855	0.2136	132.6	141.6
51.1855	0.2136	132.6	141.6
51.0731	-0.0673	132.6	141.6
50.8455	-1.0952	132.6	141.6
51.0896	0.6517	132.6	141.6
51.0873	0.5531	132.6	141.6
51.0382	0.3271	132.6	141.6
51.0289	-0.2206	132.6	141.6
50.916	0.5883	132.6	141.6
51.3614	8.8031	140.2	141.4
52.7451	7.4001	140.2	141.4
52.5102	7.0621	140.2	141.4
52.6024	6.8441	140.2	141.4
52.5829	7.0712	140.2	141.4
52.3591	7.1444	140.2	141.4
52.5198	7.3181	140.2	141.4
52.3409	7.5784	140.2	141.4
52.5909	8.4805	140.2	141.4
52.6484	7.0753	140.2	141.4
52.0001	6.8026	140.2	141.4
51.061	-1.2908	133.4	136.4
50.8739	0.2308	133.4	136.4
50.8343	0.2822	133.4	136.4
51.0382	0.3271	133.4	136.4
50.916	0.5883	133.4	136.4
51.0529	0.1396	140.6	143.6
50.9696	0.3097	140.6	143.6
50.9529	0.4004	140.6	143.6
50.9759	0.3055	140.6	143.6
51.061	-1.2908	140.6	143.6
50.9549	0.4131	140.6	143.6
50.599	-1.9533	140.6	143.6
50.8752	0.6412	140.6	143.6
50.9441	0.4584	140.6	143.6
50.9697	0.3301	140.6	143.6
50.8954	0.6074	140.6	143.6
50.9635	-0.3212	140.6	143.6
51.0102	0.7413	140.6	143.6
51.1405	-1.2881	140.6	143.6
50.9783	0.3094	140.6	143.6
50.945	0.4591	140.6	143.6
50.9394	0.4467	140.6	143.6
50.9742	0.3289	140.6	143.6
51.1855	0.2136	140.6	143.6
50.8283	0.3167	140.6	143.6
50.8455	-1.0952	140.6	143.6
51.0289	-0.2206	140.6	143.6
52.6484	7.0753	141.4	144.1
51.3614	8.8031	141.4	144.1
52.5102	7.0621	141.4	144.1
52.1775	7.8257	141.4	144.1
52.5198	7.3181	141.4	144.1
52.5909	8.4805	141.4	144.1
52.32	7.221	141.4	144.1
52.6781	9.4677	142.5	144.1
52.6783	9.7581	142.5	144.1
52.5627	17.6432	143.7	145
50.9529	0.4004	125.8	128.6
51.1329	-0.3235	125.8	128.6
51.0304	-0.1529	125.8	128.6
51.17	0.5548	125.8	128.6
50.8755	0.2367	125.8	128.6
50.8283	0.3167	125.8	128.6
50.8746	0.139	125.8	128.6
51.0896	-0.4493	125.8	128.6
51.0199	-0.3495	125.8	128.6
51.2121	-0.7976	125.8	128.6
51.0289	-0.2206	125.8	128.6
51.0987	-0.3262	125.8	128.6
50.9759	0.3055	141.3	141.9
50.8752	0.6412	141.3	141.9
50.9678	0.249	141.3	141.9
50.9783	0.3094	141.3	141.9
51.0289	-0.2206	141.3	141.9
51.3614	8.8031	141.4	142.1
52.5102	7.0621	141.4	142.1
52.4537	7.04	141.4	142.1
52.5198	7.3181	141.4	142.1
52.3409	7.5784	141.4	142.1
52.5909	8.4805	141.4	142.1
52.6484	7.0753	141.4	142.1
51.061	-1.2908	133.2	139.5
50.8739	0.2308	133.2	139.5
51.0008	-0.1266	133.2	139.5
51.0213	-0.0329	133.2	139.5
51.1119	0.1844	133.2	139.5
51.1533	0.2778	133.2	139.5
51.217	-2.9723	133.2	139.5
51.1405	-1.2881	133.2	139.5
50.908	0.6178	133.2	139.5
51.0731	-0.0673	133.2	139.5
51.0382	0.3271	133.2	139.5
51.0289	-0.2206	133.2	139.5
50.916	0.5883	133.2	139.5
51.061	-1.2908	135.1	139.9
50.8739	0.2308	135.1	139.9
50.8343	0.2822	135.1	139.9
50.9635	-0.3212	135.1	139.9
51.1405	-1.2881	135.1	139.9
50.908	0.6178	135.1	139.9
50.8455	-1.0952	135.1	139.9
51.0382	0.3271	135.1	139.9
51.0289	-0.2206	135.1	139.9
50.916	0.5883	135.1	139.9
46.3835	5.767	142.4	145
42.1511	-2.2698	121.4	132.6
42.6223	-2.7101	121.4	125.8
51.061	-1.2908	138.8	139.5
51.3614	8.8031	140.2	142.1
51.3614	8.8031	140.2	142.1
52.6024	6.8441	140.2	140.6
52.5829	7.0712	140.2	142.1
52.3591	7.1444	140.2	141.4
52.5198	7.3181	140.2	142.1
52.3409	7.5784	140.2	142.1
52.3409	7.5784	140.2	142.1
52.6484	7.0753	140.2	142.1
52.6484	7.0753	140.2	142.1
46.3835	5.767	140.2	142.1
46.3835	5.767	140.2	142.1
46.3835	5.767	140.2	142.1
52.3338	16.7101	140.7	141.6
51.0529	0.1396	141.3	141.9
50.9529	0.4004	141.3	141.9
51.061	-1.2908	141.3	141.9
51.0304	-0.1529	141.3	141.9
50.599	-1.9533	141.3	141.9
50.8954	0.6074	141.3	141.9
51.1405	-1.2881	141.3	141.9
50.9783	0.3094	141.3	141.9
50.945	0.4591	141.3	141.9
51.1855	0.2136	141.3	141.9
50.8455	-1.0952	141.3	141.9
51.0289	-0.2206	141.3	141.9
52.5102	7.0621	141.4	142.1
52.794	7.861	141.4	142.1
52.3458	9.5267	141.4	142.1
52.6783	9.7581	141.4	142.1
52.6781	9.4677	140.2	141.4
52.6024	6.8441	140.2	141.4
52.6024	6.8441	140.2	140.6
52.4537	7.04	140.2	140.6
52.5829	7.0712	140.2	140.6
52.3591	7.1444	140.2	141.4
52.5198	7.3181	140.2	140.6
52.3409	7.5784	140.2	140.6
52.6564	7.1446	140.2	140.6
52.6484	7.0753	140.2	140.6
51.061	-1.2908	141	141.1
50.9635	-0.3212	141	141.1
50.945	0.4591	141	141.1
50.8455	-1.0952	141	141.1
51.0289	-0.2206	141	141.1
51.061	-1.2908	134.5	139.5
50.8739	0.2308	134.5	139.5
50.8343	0.2822	134.5	139.5
51.1405	-1.2881	134.5	139.5
50.908	0.6178	134.5	139.5
50.8455	-1.0952	134.5	139.5
51.0382	0.3271	134.5	139.5
51.0289	-0.2206	134.5	139.5
50.916	0.5883	134.5	139.5
51.0529	0.1396	141.8	145.5
50.9529	0.4004	141.8	145.5
50.9759	0.3055	141.8	145.5
51.2267	-0.1912	141.8	145.5
51.061	-1.2908	141.8	145.5
50.9589	0.4181	141.8	145.5
50.599	-1.9533	141.8	145.5
50.8752	0.6412	141.8	145.5
50.9441	0.4584	141.8	145.5
50.8954	0.6074	141.8	145.5
50.9678	0.249	141.8	145.5
50.9635	-0.3212	141.8	145.5
51.1405	-1.2881	141.8	145.5
50.9475	0.4457	141.8	145.5
50.945	0.4591	141.8	145.5
50.9394	0.4467	141.8	145.5
50.9742	0.3289	141.8	145.5
51.0289	-0.2206	141.8	145.5
50.8739	0.2308	134.3	136.1
51.0213	-0.0329	134.3	136.1
50.8343	0.2822	134.3	136.1
51.0079	-0.2026	134.3	136.1
51.1405	-1.2881	134.3	136.1
50.908	0.6178	134.3	136.1
51.0731	-0.0673	134.3	136.1
51.0382	0.3271	134.3	136.1
51.0289	-0.2206	134.3	136.1
50.916	0.5883	134.3	136.1
50.9696	0.3097	139.9	142.9
50.9529	0.4004	139.9	142.9
50.9759	0.3055	139.9	142.9
51.061	-1.2908	139.9	142.9
50.599	-1.9533	139.9	142.9
50.8752	0.6412	139.9	142.9
50.9697	0.3301	139.9	142.9
50.8954	0.6074	139.9	142.9
50.9635	-0.3212	139.9	142.9
51.1405	-1.2881	139.9	142.9
50.945	0.4591	139.9	142.9
50.9394	0.4467	139.9	142.9
51.1855	0.2136	139.9	142.9
50.8455	-1.0952	139.9	142.9
51.0289	-0.2206	139.9	142.9
