Taxon_name	Status	Min_Ma	Max_Ma
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.4	142.1
Cypridea_amisia	extinct	141.4	142.1
Cypridea_amisia	extinct	141.4	142.1
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.6	141.4
Cypridea_andersoni	extinct	140.6	141.4
Cypridea_andersoni	extinct	140.6	141.4
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_binodosa	extinct	142.5	144.1
Cypridea_binodosa	extinct	142.5	144.1
Cypridea_binodosa	extinct	142.5	144.1
Cypridea_binodosa	extinct	142.5	144.1
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_bispinosa	extinct	132.6	136.4
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_blackbushensis	extinct	134.6	137.7
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brendae	extinct	127.3	128.5
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	138.8	141.7
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.2	142.1
Cypridea_brevirostrata	extinct	140.6	142.1
Cypridea_bullata	extinct	113	123.6
Cypridea_buxtorfi	extinct	142.1	145
Cypridea_caudata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
Cypridea_clavata	extinct	121.4	123.3
Cypridea_clavata	extinct	121.4	132.5
