Taxon_name	Status	Min_Ma	Max_Ma
Cypridea_vianai	extinct	142.8	143.9
Cypridea_vianai	extinct	142.8	143.9
Cypridea_vulgaris	extinct	128.5	140.2
Kegelina_armata	extinct	143.9	145
Kegelina_bisculpturata	extinct	143.9	145
Kegelina_bisculpturata	extinct	143.9	145
Kegelina_depressa	extinct	143.9	145
Kegelina_kegeli	extinct	143.9	145
Kegelina_kegeli	extinct	143.9	145
Paracypridea_bicallosa	extinct	134	138.4
Paracypridea_brasiliensis	extinct	130.9	138.4
Paracypridea_brasiliensis	extinct	130.9	138.4
Paracypridea_brasiliensis	extinct	130.9	138.4
Paracypridea_connectens	extinct	123.6	128.5
Paracypridea_elegans	extinct	128.5	134
Paracypridea_elegans	extinct	128.5	134
Paracypridea_elegans	extinct	128.5	134
Paracypridea_impar	extinct	128.5	140.2
Paracypridea_langdoni	extinct	128.5	130.9
Paracypridea_maacki	extinct	132.2	138.4
Paracypridea_obovata	extinct	125.8	130.9
Paracypridea_obovata	extinct	125.8	130.9
Paracypridea_obovata	extinct	125.8	130.9
Paracypridea_quadrirugosa	extinct	123	125.8
Paracypridea_quadrirugosa	extinct	123	125.8
Paracypridea_quadrirugosa	extinct	123	125.8
Paracypridea_quadrirugosa	extinct	123	125.8
Paracypridea_quadrirugosa	extinct	123	125.8
Paracypridea_rhomboidalis	extinct	126.4	129.7
Paracypridea_rhomboidalis	extinct	126.4	129.7
Paracypridea_similis	extinct	128.5	132.2
Paracypridea_similis	extinct	128.5	132.2
Paracypridea_similis	extinct	128.5	132.2
Praecypridea_acuta	extinct	143.9	145
