Taxon_name	Status	Min_Ma	Max_Ma
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_aemulans	extinct	138.4	142.9
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_alta	extinct	139.8	141.2
Cypridea_altissima	extinct	141.1	142.6
Cypridea_altissima	extinct	141.1	142.6
Cypridea_altissima	extinct	141.1	142.6
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_altissima	extinct	141.4	142.1
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_amisia	extinct	141.3	142.5
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_andersoni	extinct	140.4	141.9
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_arenosa	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_asseri	extinct	134.6	135.8
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
Cypridea_bimammata	extinct	139.5	141.7
