Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment
69	Cypridea bapounou	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf
70	Cypridea candeiensis	0.1609	10.058	-8.4882	-3.7561	140.2	141.9	WAf
71	Cypridea deklaszi	-4.4528	11.7351	-15.5731	-3.8645	121.7	123.4	WAf
72	Cypridea deklaszi	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf
73	Cypridea dromedarius	0.1609	10.058	-9.3922	-3.3997	130.9	136.1	WAf
74	Cypridea elisabethaensis	1.0941	23.6876	-17.0784	10.3248	116.1	121.7	WAf
75	Cypridea eminens	0.1609	10.058	-10.3741	-3.0114	124.8	125.8	WAf
76	Cypridea gabonensis	0.1609	10.058	-9.045	-3.5367	132.1	140.7	WAf
77	Cypridea hadronodosa	0.1609	10.058	-8.4882	-3.7561	140.2	141.9	WAf
78	Cypridea hamakoussouensis	9.7653	13.5311	-5.0154	3.9503	113	125.8	WAf
79	Cypridea hollensis	-2.166	9.4905	-12.5716	-4.5668	121.7	122.5	WAf
80	Cypridea hollensis	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf
81	Cypridea hollensis	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf
82	Cypridea indiennensis	-4.6646	11.7838	-13.6284	-4.7845	136.1	143.9	WAf
83	Cypridea indiennensis	-4.6646	11.7838	-13.6284	-4.7845	136.1	143.9	WAf
84	Cypridea kitariensis	-6.1584	17.4006	-22.6009	5.7485	89.8	97.2	WAf
85	Cypridea kitariensis	-4.7634	17.098	-21.1739	5.7767	89.8	97.2	WAf
86	Cypridea loango	-2.166	9.4905	-12.5716	-4.5668	121.7	122.5	WAf
87	Cypridea loango	-4.7898	11.8813	-15.9365	-3.9183	121.7	123.4	WAf
88	Cypridea lunula	0.1609	10.058	-9.7694	-3.2507	128.5	132.2	WAf
89	Cypridea maringaensis	1.0941	23.6876	-17.0784	10.3248	116.1	121.7	WAf
90	Cypridea maringaensis	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf
91	Cypridea minuscula	8.3725	14.5217	-3.8431	4.3722	136.1	143.9	WAf
92	Cypridea nannorostrata	0.1609	10.058	-10.6255	-2.9118	122.8	123.6	WAf
93	Cypridea ogowensis	0.1609	10.058	-10.3741	-3.0114	124.8	125.8	WAf
94	Cypridea primaria	0.1609	10.058	-8.117	-3.9022	143.3	145	WAf
95	Cypridea quarta	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf
96	Cypridea sambaensis	0.7121	20.9064	-16.2053	7.5395	116.1	121.7	WAf
97	Cypridea subtilis	0.1609	10.058	-8.8354	-3.6193	136.1	140.2	WAf
