Occurrence_Number	Taxon_name	Latitude	Longitude	Paleo_Latitude	Paleo_Longitude	Min_Ma	Max_Ma	Original_Assignment	region	globe
258	Kegelina_anomala	46.6678	-113.1493	48.1323	-67.5982	110	115	NAm	NA	NA
259	Kegelina_anomala	45.3716	-112.461	46.7539	-67.4674	110	115	NAm	NA	NA
260	Kegelina_anomala	46.6678	-113.1493	48.1323	-67.5982	110	115	NAm	NA	NA
261	Kegelina_anomala	45.1768	-111.6854	46.4132	-66.7847	110	115	NAm	NA	NA
262	Kegelina_anomala	53.3538	-114.4841	53.9651	-59.9626	113	121.4	NAm	NA	Global
263	Praecypridea_acuticyatha	36.8918	-102.9621	32.3228	-51.2367	149.2	154.8	NAm	NA	Global
264	Praecypridea_acuticyatha	36.8918	-102.9621	32.3228	-51.2367	149.2	154.8	NAm	NA	Global
265	Cypridea_acicularis	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
266	Cypridea_acicularis	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
267	Cypridea_acicularis	-8.8086	-37.8114	-6.1293	-4.7115	136.1	143.9	SAm	WAfSAm	NA
268	Cypridea_altilis	-12.6088	-38.6428	-10.5376	-5.4514	130.9	140.2	SAm	WAfSAm	NA
269	Cypridea_ambigua	-12.6088	-38.6428	-9.5594	-5.062	142.8	143.9	SAm	WAfSAm	NA
270	Cypridea_ambigua	-10.0575	-38.3572	-6.9924	-5.0198	142.8	143.9	SAm	WAfSAm	NA
271	Cypridea_ambigua	-10.0055	-38.3462	-6.9396	-5.0138	142.8	143.9	SAm	WAfSAm	NA
272	Cypridea_ambigua	-6.7465	-38.3146	-3.6917	-5.2854	142.8	143.9	SAm	WAfSAm	NA
273	Cypridea_amerikana	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm	NA	Global
274	Cypridea_amerikana	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm	NA	Global
275	Cypridea_araripensis	-7.2916	-39.393	-9.3852	-8.4646	110.5	117.2	SAm	WAfSAm	NA
276	Cypridea_araripensis	-7.5717	-39.1631	-9.6578	-8.2244	110.5	117.2	SAm	WAfSAm	NA
277	Cypridea_araripensis	-5.3405	-35.6052	-6.2608	-3.5082	113	121.4	SAm	NA	NA
278	Cypridea_araripensis	-7.2916	-39.393	-7.4615	-6.9369	117.2	123.6	SAm	WAfSAm	NA
279	Cypridea_araripensis	-7.2275	-39.4529	-6.6232	-6.9501	121.4	125.8	SAm	WAfSAm	NA
280	Cypridea_araripensis	-7.2275	-39.4529	-6.6232	-6.9501	121.4	125.8	SAm	WAfSAm	NA
281	Cypridea_araripensis	-7.1761	-39.4836	-6.5717	-6.9819	121.4	125.8	SAm	WAfSAm	NA
282	Cypridea_araripensis	-7.2916	-39.393	-6.6863	-6.8892	121.4	125.8	SAm	WAfSAm	NA
283	Cypridea_araripensis	-8.5698	-37.7555	-7.9395	-5.2342	121.4	125.8	SAm	WAfSAm	NA
284	Cypridea_araripensis	-7.1838	-39.7377	-6.5836	-7.2354	121.4	125.8	SAm	WAfSAm	NA
285	Cypridea_araripensis	-7.2968	-39.3014	-6.6899	-6.7973	121.4	125.8	SAm	WAfSAm	NA
286	Cypridea_araripensis	-7.1173	-39.6976	-6.5159	-7.1965	121.4	125.8	SAm	WAfSAm	NA
287	Cypridea_araripensis	-7.2483	-39.453	-6.6432	-6.9498	121.4	125.8	SAm	WAfSAm	NA
288	Cypridea_araripensis	-7.2509	-39.4287	-6.6458	-6.9258	121.4	125.8	SAm	WAfSAm	NA
289	Cypridea_araripensis	-7.2482	-39.4468	-6.6431	-6.9438	121.4	125.8	SAm	WAfSAm	NA
290	Cypridea_australis	-39.4982	-70.2848	-39.6	-36.6266	117.2	125.8	SAm	NA	NA
291	Cypridea_australis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
292	Cypridea_australis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
293	Cypridea_australis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
294	Cypridea_australis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
295	Cypridea_australis	-39.4443	-70.2151	-38.845	-36.4493	121.4	125.8	SAm	NA	NA
296	Cypridea_australis	-39.519	-69.2849	-38.886	-35.5239	121.4	125.8	SAm	NA	NA
297	Cypridea_australis	-39.519	-69.2849	-38.886	-35.5239	121.4	125.8	SAm	NA	NA
298	Cypridea_australis	-44.443	-69.9847	-43.8296	-35.894	121.4	125.8	SAm	NA	NA
299	Cypridea_australis	-39.4443	-70.2151	-38.6359	-34.365	131	134	SAm	NA	NA
300	Cypridea_bibullata	-12.6088	-38.6428	-11.8598	-6.0015	123.6	125.8	SAm	WAfSAm	NA
301	Cypridea_bibullata	-12.6088	-38.6428	-11.8598	-6.0015	123.6	125.8	SAm	WAfSAm	NA
302	Cypridea_bibullata	-12.6088	-38.6428	-11.8598	-6.0015	123.6	125.8	SAm	WAfSAm	NA
303	Cypridea_bibullata	-8.773	-37.8212	-8.0087	-5.2581	123.6	125.8	SAm	WAfSAm	NA
304	Cypridea_bubonulata	-12.6088	-38.6428	-9.724	-5.1265	140.2	143.9	SAm	WAfSAm	NA
305	Cypridea_candeiensis	-12.6088	-38.6428	-9.8502	-5.1763	140.2	141.9	SAm	WAfSAm	NA
306	Cypridea_candeiensis	-12.6088	-38.6428	-9.8502	-5.1763	140.2	141.9	SAm	WAfSAm	NA
307	Cypridea_cayelli	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
308	Cypridea_conjugata	-12.7665	-39.0121	-12.202	-6.4442	122.8	123.6	SAm	WAfSAm	NA
309	Cypridea_conjugata	-12.7665	-39.0121	-12.202	-6.4442	122.8	123.6	SAm	WAfSAm	NA
310	Cypridea_craigi	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm	NA	Global
311	Cypridea_craigi	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm	NA	Global
312	Cypridea_craigi	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm	NA	Global
313	Cypridea_craigi	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm	NA	Global
314	Cypridea_cymerata	-39.4982	-70.2848	-39.6	-36.6266	117.2	125.8	SAm	NA	NA
315	Cypridea_cymerata	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
316	Cypridea_cymerata	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
317	Cypridea_cymerata	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
318	Cypridea_delicatula*	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
319	Cypridea_dromedarius	-12.6088	-38.6428	-10.7908	-5.5546	130.9	136.1	SAm	WAfSAm	NA
320	Cypridea_ellipsoidea	-12.6088	-38.6428	-10.686	-5.5118	128.5	140.2	SAm	WAfSAm	NA
321	Cypridea_ellipsoidea	-12.7615	-38.618	-11.3287	-5.6824	128.5	132.2	SAm	WAfSAm	NA
322	Cypridea_faveolata	-12.3585	-38.3824	-12.3085	-5.87	121	121.4	SAm	WAfSAm	NA
323	Cypridea_feruglioi	-43.8636	-69.0234	-47.7378	-39.3431	101.6	118.5	SAm	NA	Global
324	Cypridea_grekoffi	-12.6088	-38.6428	-10.2141	-5.321	136.1	140.2	SAm	WAfSAm	NA
325	Cypridea_hadronodosa	-12.6088	-38.6428	-9.8502	-5.1763	140.2	141.9	SAm	WAfSAm	NA
326	Cypridea_heliopolisensis_hespera	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
327	Cypridea_heliopolisensis_hespera	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
328	Cypridea_hystricoides	-12.6088	-38.6428	-11.8598	-6.0015	123.6	125.8	SAm	WAfSAm	NA
329	Cypridea_hystricoides	-6.3325	-39.2319	-5.3374	-6.6572	126.7	127.1	SAm	WAfSAm	NA
330	Cypridea_hystrix	-12.6088	-38.6428	-10.7107	-5.5218	132.2	136.1	SAm	WAfSAm	NA
331	Cypridea_indiennensis	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
332	Cypridea_indiennensis	-10.0575	-38.3572	-6.9924	-5.0198	142.8	143.9	SAm	WAfSAm	NA
333	Cypridea_indiennensis	-10.0055	-38.3462	-6.9396	-5.0138	142.8	143.9	SAm	WAfSAm	NA
334	Cypridea_infima	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
335	Cypridea_infima	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
336	Cypridea_insolita	-12.7665	-39.0121	-12.4365	-6.4702	122.2	122.3	SAm	WAfSAm	NA
337	Cypridea_jequiensis	-13.8734	-40.0946	-13.7492	-7.5389	121	122.2	SAm	WAfSAm	NA
338	Cypridea_kroemmelbeini	-12.6088	-38.6428	-10.2141	-5.321	136.1	140.2	SAm	WAfSAm	NA
339	Cypridea_langei	-12.6088	-38.6428	-11.6977	-5.9325	123.6	128.5	SAm	WAfSAm	NA
340	Cypridea_lenticuIa	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
341	Cypridea_limae	-14.3982	-39.0221	-13.9971	-6.4475	122.2	122.8	SAm	NA	NA
342	Cypridea_ludica	-39.4982	-70.2848	-39.6	-36.6266	117.2	125.8	SAm	NA	NA
343	Cypridea_ludica	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
344	Cypridea_ludica	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
345	Cypridea_ludica	-39.519	-69.2849	-38.886	-35.5239	121.4	125.8	SAm	NA	NA
346	Cypridea_lunula	-12.6088	-38.6428	-11.1769	-5.7138	128.5	132.2	SAm	WAfSAm	NA
347	Cypridea_lunula	-12.7615	-38.618	-11.3287	-5.6824	128.5	132.2	SAm	WAfSAm	NA
348	Cypridea_luzi	-12.3585	-38.3824	-9.9451	-5.0815	136.1	140.2	SAm	WAfSAm	NA
349	Cypridea_maior	-12.6088	-38.6428	-10.2141	-5.321	136.1	140.2	SAm	WAfSAm	NA
350	Cypridea_marginata	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
351	Cypridea_marginata	-43.0431	-69.1322	-43.3038	-35.222	118.5	123.6	SAm	NA	NA
352	Cypridea_minuscula	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
353	Cypridea_minuscula	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
354	Cypridea_minuscula	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
355	Cypridea_minuscula	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
356	Cypridea_miritiensis	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
357	Cypridea_miritiensis	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
358	Cypridea_modestissima	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
359	Cypridea_modestissima	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
360	Cypridea_modestissima	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
361	Cypridea_muelleri	-12.6088	-38.6428	-11.329	-5.7773	127.3	130.9	SAm	WAfSAm	NA
362	Cypridea_multipunctata_	-12.7665	-39.0121	-10.718	-5.8068	130.9	140.2	SAm	WAfSAm	NA
363	Cypridea_nannorostrata	-12.7665	-39.0121	-12.202	-6.4442	122.8	123.6	SAm	WAfSAm	NA
364	Cypridea_nodobliqua	-12.4667	-38.8333	-9.7244	-5.376	140.2	141.9	SAm	WAfSAm	NA
365	Cypridea_oblonga	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
366	Cypridea_opifera	-12.6088	-38.6428	-10.2141	-5.321	136.1	140.2	SAm	WAfSAm	NA
367	Cypridea_ovalis	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
368	Cypridea_ovalis	-43.0431	-69.1322	-43.3038	-35.222	118.5	123.6	SAm	NA	NA
369	Cypridea_papilata	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
370	Cypridea_papilata	-43.0431	-69.1322	-43.3038	-35.222	118.5	123.6	SAm	NA	NA
371	Cypridea_paraibensis	-6.3325	-39.2319	-5.6013	-6.7158	124.2	125.1	SAm	WAfSAm	NA
372	Cypridea_paraibensis	-6.3325	-39.2319	-5.3198	-6.6533	125.1	129	SAm	WAfSAm	NA
373	Cypridea_paraibensis	-10.0055	-38.3462	-6.9396	-5.0138	142.8	143.9	SAm	WAfSAm	NA
374	Cypridea_paraibensis	-6.7465	-38.3146	-3.6917	-5.2854	142.8	143.9	SAm	WAfSAm	NA
375	Cypridea_poligonalis	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
376	Cypridea_punctacentralis	-6.3325	-39.2319	-5.6013	-6.7158	124.2	125.1	SAm	WAfSAm	NA
377	Cypridea_punctacentralis	-6.3325	-39.2319	-5.3198	-6.6533	125.1	129	SAm	WAfSAm	NA
378	Cypridea_quadrilateralis	-12.6513	-38.5367	-11.5313	-5.739	125.8	129.7	SAm	WAfSAm	NA
379	Cypridea_quadrilateralis	-12.6088	-38.6428	-11.4926	-5.8459	125.8	129.7	SAm	WAfSAm	NA
380	Cypridea_quadrilateralis	-12.6088	-38.6428	-11.4926	-5.8459	125.8	129.7	SAm	WAfSAm	NA
381	Cypridea_quadrilateralis	-12.6088	-38.6428	-11.4926	-5.8459	125.8	129.7	SAm	WAfSAm	NA
382	Cypridea_quadrilateralis	-12.7697	-38.4919	-11.6488	-5.6904	125.8	129.7	SAm	WAfSAm	NA
383	Cypridea_quadrilateralis	-12.4176	-38.204	-11.288	-5.4152	125.8	129.7	SAm	WAfSAm	NA
384	Cypridea_quadrilateralis	-12.4176	-38.204	-11.288	-5.4152	125.8	129.7	SAm	WAfSAm	NA
385	Cypridea_ranquiliensis	-43.0431	-69.1322	-44.277	-36.0619	113	121.4	SAm	NA	NA
386	Cypridea_ranquiliensis	-38.3254	-69.8103	-39.5785	-36.9615	113	121.4	SAm	NA	NA
387	Cypridea_renalis	-45.0018	-67.8313	-44.0273	-31.6184	125.8	136.2	SAm	NA	NA
388	Cypridea_reticularis	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
389	Cypridea_riojoanensis	-12.3585	-38.3824	-12.1415	-5.8582	121.4	122.2	SAm	WAfSAm	NA
390	Cypridea_robusta	-12.6088	-38.6428	-10.3761	-5.3861	130.9	142.8	SAm	WAfSAm	NA
391	Cypridea_rostralis	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
392	Cypridea_salvadorensis	-12.6088	-38.6428	-10.1078	-5.2785	136.1	141.9	SAm	WAfSAm	NA
393	Cypridea_sellata	-12.6088	-38.6428	-9.6861	-5.1116	141.9	142.8	SAm	WAfSAm	NA
394	Cypridea_sellata	-8.8083	-37.8104	-5.8275	-4.6295	141.9	142.8	SAm	WAfSAm	NA
395	Cypridea_sellata	-12.6088	-38.6428	-9.6861	-5.1116	141.9	142.8	SAm	WAfSAm	NA
396	Cypridea_sellata	-12.6088	-38.6428	-9.6861	-5.1116	141.9	142.8	SAm	WAfSAm	NA
397	Cypridea_semilunaris	-8.773	-37.8212	-8.1679	-5.3041	123.2	123.6	SAm	NA	NA
398	Cypridea_semilunaris	-12.7665	-39.0121	-12.202	-6.4442	123.2	123.2	SAm	WAfSAm	NA
399	Cypridea_simplissima*	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
400	Cypridea_spinata	-12.3585	-38.3824	-12.3085	-5.87	121	121.4	SAm	WAfSAm	NA
401	Cypridea_subcuadrata	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
402	Cypridea_subcuadrata	-44.443	-69.9847	-43.8296	-35.894	121.4	125.8	SAm	NA	NA
403	Cypridea_subtilis	-12.6088	-38.6428	-10.2141	-5.321	136.1	140.2	SAm	WAfSAm	NA
404	Cypridea_subtrapezoidalis	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
405	Cypridea_suspecta	-12.6088	-38.6428	-9.8502	-5.1763	140.2	141.9	SAm	WAfSAm	NA
406	Cypridea_tchibodaensis	-10.0948	-36.7017	-9.8313	-4.2263	121.4	122.3	SAm	NA	NA
407	Cypridea_tosca	-45.0018	-67.8313	-45.3447	-33.8194	117.2	123.6	SAm	NA	NA
408	Cypridea_trinodosa	-12.6088	-38.6428	-9.5594	-5.062	142.8	143.9	SAm	WAfSAm	NA
409	Cypridea_trinodosa	-12.6088	-38.6428	-9.5594	-5.062	142.8	143.9	SAm	WAfSAm	NA
410	Cypridea_troelseni	-12.2759	-38.5312	-10.3472	-5.4204	128.5	140.2	SAm	WAfSAm	NA
411	Cypridea_tucanoensis	-12.6088	-38.6428	-10.239	-5.331	134	141.9	SAm	WAfSAm	NA
412	Cypridea_variebullata	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
413	Cypridea_variebullata	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
414	Cypridea_variebullata	-12.6088	-38.6428	-9.9823	-5.2286	136.1	143.9	SAm	WAfSAm	NA
415	Cypridea_ventronodata	-12.6088	-38.6428	-10.649	-5.4966	130.9	138.4	SAm	WAfSAm	NA
416	Cypridea_ventrospinata	-12.7665	-39.0121	-11.5903	-6.177	125.8	130.9	SAm	WAfSAm	NA
417	Cypridea_ventrospinata	-12.7665	-39.0121	-11.5903	-6.177	125.8	130.9	SAm	WAfSAm	NA
418	Cypridea_vianai	-10.0575	-38.3572	-6.9924	-5.0198	142.8	143.9	SAm	WAfSAm	NA
419	Cypridea_vianai	-6.7465	-38.3146	-3.6917	-5.2854	142.8	143.9	SAm	WAfSAm	NA
420	Cypridea_vianai	-6.7465	-38.3146	-3.6917	-5.2854	142.8	143.9	SAm	WAfSAm	NA
421	Cypridea_volubilis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
422	Cypridea_volubilis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
423	Cypridea_volubilis	-39.4982	-70.2848	-38.9015	-36.5153	121.4	125.8	SAm	NA	NA
424	Cypridea_volubilis	-44.443	-69.9847	-43.8296	-35.894	121.4	125.8	SAm	NA	NA
425	Cypridea_volubilis	-44.5596	-69.9847	-43.9464	-35.8857	121.4	125.8	SAm	NA	NA
426	Cypridea_vulgaris	-12.6088	-38.6428	-10.686	-5.5118	128.5	140.2	SAm	WAfSAm	NA
427	Kegelina_armata	-12.6088	-38.6428	-9.4245	-5.07	143.9	145	SAm	WAfSAm	NA
428	Kegelina_bisculpturata	-12.6088	-38.6428	-9.4245	-5.07	143.9	145	SAm	WAfSAm	NA
429	Kegelina_bisculpturata	-12.6088	-38.6428	-9.4245	-5.07	143.9	145	SAm	WAfSAm	NA
430	Kegelina_depressa	-12.3585	-38.3824	-9.1504	-4.8372	143.9	145	SAm	WAfSAm	NA
431	Kegelina_kegeli	-12.6088	-38.6428	-9.4245	-5.07	143.9	145	SAm	WAfSAm	NA
432	Kegelina_kegeli	-12.6088	-38.6428	-9.4245	-5.07	143.9	145	SAm	WAfSAm	NA
433	Paracypridea_bicallosa	-12.6088	-38.6428	-10.4569	-5.4187	134	138.4	SAm	WAfSAm	NA
434	Paracypridea_brasiliensis	-12.6088	-38.6428	-10.649	-5.4966	130.9	138.4	SAm	WAfSAm	NA
435	Paracypridea_brasiliensis	-12.6088	-38.6428	-10.649	-5.4966	130.9	138.4	SAm	WAfSAm	NA
436	Paracypridea_brasiliensis	-8.8026	-37.8249	-6.8023	-4.9116	130.9	138.4	SAm	WAfSAm	NA
437	Paracypridea_connectens	-12.6088	-38.6428	-11.6977	-5.9325	123.6	128.5	SAm	WAfSAm	NA
438	Paracypridea_elegans	-12.6088	-38.6428	-11.067	-5.6683	128.5	134	SAm	WAfSAm	NA
439	Paracypridea_elegans	-12.6088	-38.6428	-11.067	-5.6683	128.5	134	SAm	WAfSAm	NA
440	Paracypridea_elegans	-12.6088	-38.6428	-11.067	-5.6683	128.5	134	SAm	WAfSAm	NA
441	Paracypridea_impar	-12.6088	-38.6428	-10.686	-5.5118	128.5	140.2	SAm	WAfSAm	NA
442	Paracypridea_langdoni	-12.6088	-38.6428	-11.2561	-5.7468	128.5	130.9	SAm	WAfSAm	NA
443	Paracypridea_maacki	-12.6088	-38.6428	-10.5685	-5.4639	132.2	138.4	SAm	WAfSAm	NA
444	Paracypridea_obovata	-12.6088	-38.6428	-11.42	-5.8154	125.8	130.9	SAm	WAfSAm	NA
445	Paracypridea_obovata	-12.6088	-38.6428	-11.42	-5.8154	125.8	130.9	SAm	WAfSAm	NA
446	Paracypridea_obovata	-12.7697	-38.4919	-11.5758	-5.6595	125.8	130.9	SAm	WAfSAm	NA
447	Paracypridea_quadrirugosa	-12.6088	-38.6428	-11.8957	-6.0168	123	125.8	SAm	WAfSAm	NA
448	Paracypridea_quadrirugosa	-8.773	-37.8212	-8.0454	-5.2687	123	125.8	SAm	WAfSAm	NA
449	Paracypridea_quadrirugosa	-12.6513	-38.5367	-11.9358	-5.9103	123	125.8	SAm	WAfSAm	NA
450	Paracypridea_quadrirugosa	-12.6088	-38.6428	-11.8957	-6.0168	123	125.8	SAm	WAfSAm	NA
451	Paracypridea_quadrirugosa	-12.6088	-38.6428	-11.8957	-6.0168	123	125.8	SAm	WAfSAm	NA
452	Paracypridea_rhomboidalis	-12.6088	-38.6428	-11.4563	-5.8306	126.4	129.7	SAm	WAfSAm	NA
453	Paracypridea_rhomboidalis	-12.6513	-38.5367	-11.4949	-5.7237	126.4	129.7	SAm	WAfSAm	NA
454	Paracypridea_similis	-12.6088	-38.6428	-11.1769	-5.7138	128.5	132.2	SAm	WAfSAm	NA
455	Paracypridea_similis	-12.6088	-38.6428	-11.1769	-5.7138	128.5	132.2	SAm	WAfSAm	NA
456	Paracypridea_similis	-12.6088	-38.6428	-11.1769	-5.7138	128.5	132.2	SAm	WAfSAm	NA
457	Paraplesiocypridea_alloios	-50.3048	-58.9437	-48.6859	-22.2943	121.4	139.8	SAm	NA	Global
458	Praecypridea_acuta	-12.6088	-38.6428	-9.4245	-5.07	143.9	145	SAm	WAfSAm	NA
459	Cypridea_aculeata	50.8739	0.2308	41.5887	10.0704	134.1	136.4	Eu	NAfEu	Global
460	Cypridea_aculeata	51.0213	-0.0329	41.732	9.8435	134.1	136.4	Eu	NAfEu	Global
461	Cypridea_aculeata	50.8343	0.2822	41.5494	10.1146	134.1	136.4	Eu	NAfEu	Global
462	Cypridea_aculeata	50.8954	0.6074	41.6151	10.3869	134.1	136.4	Eu	NAfEu	Global
463	Cypridea_aculeata	50.9635	-0.3212	41.6712	9.6024	134.1	136.4	Eu	NAfEu	Global
464	Cypridea_aculeata	51.1405	-1.2881	41.837	8.7833	134.1	136.4	Eu	NAfEu	Global
465	Cypridea_aculeata	50.908	0.6178	41.6283	10.3958	134.1	136.4	Eu	NAfEu	Global
466	Cypridea_aculeata	51.1329	-0.3235	41.8402	9.5953	134.1	136.4	Eu	NAfEu	Global
467	Cypridea_aculeata	51.1008	-0.3239	41.8082	9.5961	134.1	136.4	Eu	NAfEu	Global
468	Cypridea_aculeata	50.9394	0.4467	41.6567	10.2506	134.1	136.4	Eu	NAfEu	Global
469	Cypridea_aculeata	51.0731	-0.0673	41.7835	9.8134	134.1	136.4	Eu	NAfEu	Global
470	Cypridea_aculeata	50.8455	-1.0952	41.5441	8.9527	134.1	136.4	Eu	NAfEu	Global
471	Cypridea_aculeata	51.7483	-1.1813	42.4451	8.8594	134.1	136.4	Eu	NAfEu	Global
472	Cypridea_aculeata	51.0382	0.3271	41.754	10.1464	134.1	136.4	Eu	NAfEu	Global
473	Cypridea_aculeata	51.0289	-0.2206	41.7375	9.6849	134.1	136.4	Eu	NAfEu	Global
474	Cypridea_aculeata	50.916	0.5883	41.6358	10.3702	134.1	136.4	Eu	NAfEu	Global
475	Cypridea_aemulans	50.9696	0.3097	41.9591	9.6798	138.4	142.9	Eu	NAfEu	Global
476	Cypridea_aemulans	50.9529	0.4004	41.9438	9.7566	138.4	142.9	Eu	NAfEu	Global
477	Cypridea_aemulans	50.9759	0.3055	41.965	9.6761	138.4	142.9	Eu	NAfEu	Global
478	Cypridea_aemulans	51.061	-1.2908	42.0238	8.3219	138.4	142.9	Eu	NAfEu	Global
479	Cypridea_aemulans	51.0304	-0.1529	42.0109	9.2857	138.4	142.9	Eu	NAfEu	Global
480	Cypridea_aemulans	50.599	-1.9533	41.5528	7.7748	138.4	142.9	Eu	NAfEu	Global
481	Cypridea_aemulans	50.8752	0.6412	41.8703	9.9638	138.4	142.9	Eu	NAfEu	Global
482	Cypridea_aemulans	50.9697	0.3301	41.9595	9.6967	138.4	142.9	Eu	NAfEu	Global
483	Cypridea_aemulans	50.8954	0.6074	41.8897	9.9342	138.4	142.9	Eu	NAfEu	Global
484	Cypridea_aemulans	50.8665	0.567	41.8609	9.9015	138.4	142.9	Eu	NAfEu	Global
485	Cypridea_aemulans	50.9635	-0.3212	41.9421	9.1459	138.4	142.9	Eu	NAfEu	Global
486	Cypridea_aemulans	51.1405	-1.2881	42.1039	8.3219	138.4	142.9	Eu	NAfEu	Global
487	Cypridea_aemulans	50.9783	0.3094	41.9671	9.6786	138.4	142.9	Eu	NAfEu	Global
488	Cypridea_aemulans	50.945	0.4591	41.9369	9.8069	138.4	142.9	Eu	NAfEu	Global
489	Cypridea_aemulans	50.9394	0.4467	41.9307	9.797	138.4	142.9	Eu	NAfEu	Global
490	Cypridea_aemulans	51.1855	0.2136	42.1723	9.5902	138.4	142.9	Eu	NAfEu	Global
491	Cypridea_aemulans	50.8455	-1.0952	41.8118	8.4946	138.4	142.9	Eu	NAfEu	Global
492	Cypridea_aemulans	51.0289	-0.2206	42.0087	9.2282	138.4	142.9	Eu	NAfEu	Global
493	Cypridea_alcaramae	42.059	-1.8637	32.9574	8.5953	132.6	139.8	Eu	NAfEu	NA
494	Cypridea_aleksandrowiensis	52.8813	18.6953	44.7241	24.9104	141.6	143.7	Eu	NA	NA
495	Cypridea_alta	50.9529	0.4004	41.9362	9.7691	139.8	141.2	Eu	NAfEu	Global
496	Cypridea_alta	50.9759	0.3055	41.9575	9.6887	139.8	141.2	Eu	NAfEu	Global
497	Cypridea_alta	52.0001	6.8026	43.1521	15.1097	139.8	141.4	Eu	NAfEu	NA
498	Cypridea_alta	51.061	-1.2908	42.0165	8.3346	139.8	141.2	Eu	NAfEu	Global
499	Cypridea_alta	51.0304	-0.1529	42.0034	9.2982	139.8	141.2	Eu	NAfEu	Global
500	Cypridea_alta	50.599	-1.9533	41.5455	7.7874	139.8	141.2	Eu	NAfEu	Global
501	Cypridea_alta	50.8752	0.6412	41.8628	9.9763	139.8	141.2	Eu	NAfEu	Global
502	Cypridea_alta	50.9678	0.249	41.9485	9.6407	139.8	141.2	Eu	NAfEu	Global
