age	PI_NAfEu
81	0.69814544916153
82	0.698179478162462
83	0.698222501708273
84	0.69827372102899
85	0.698332337354642
86	0.698397551915255
87	0.698468565940857
88	0.698544437833673
89	0.698623654684716
90	0.698704560757198
91	0.698785500314331
92	0.698864817619324
93	0.698941584058749
94	0.699017779512613
95	0.699096110984283
96	0.699179285477125
97	0.699270009994507
98	0.699370457316586
99	0.69948066333069
100	0.699600129700937
101	0.699728358091445
102	0.699864850166334
103	0.700009107589722
104	0.700165236906125
105	0.700355764181644
106	0.700607820362778
107	0.700948536396027
108	0.701395230481854
109	0.701925969836581
110	0.702509008930496
111	0.703112602233887
112	0.70370813243283
113	0.704279495076559
114	0.704813713930097
115	0.705297812758466
116	0.705718815326691
117	0.706067003000752
118	0.706345687550467
119	0.706561438346612
120	0.706720824759963
121	0.706830416161296
122	0.706896781921387
123	0.706923626751703
124	0.706903196726473
125	0.706824873260619
126	0.70667803776906
127	0.706452071666718
128	0.706146834909613
129	0.705804101618166
130	0.705476124453901
131	0.705215156078339
132	0.705059484692433
133	0.704991540654857
134	0.704979789863716
135	0.704992698217115
136	0.704998731613159
137	0.704972883183567
138	0.704916254994519
139	0.704836476345809
140	0.704741176537231
141	0.704637984868579
142	0.704534530639648
143	0.704436631760467
144	0.704342860582011
145	0.704249978065491
146	0.704156015485402
147	0.704064085369386
148	0.70397857055837
149	0.70390385389328
150	0.703843301354769
151	0.703796211482392
152	0.70376086595543
153	0.703735546453163
154	0.703718534654872
155	0.703708112239838
156	0.703702866552011
157	0.703702607594021
158	0.703707451033167
159	0.703717512536748
160	0.703732907772064
161	0.703753100263118
162	0.703774944960732
163	0.703794644672432
164	0.703808402205744
165	0.703812420368195
166	0.703804628779252
167	0.703789864306147
168	0.703774690628052
169	0.703765115923976
170	0.703764926372268
171	0.703777352651112
172	0.70380562543869
