age	BS_NAfEu
81	1091.04555444433
82	1064.53597068842
83	1049.63649925538
84	1044.9521280492
85	1049.08784497384
86	1060.6486379333
87	1078.23949483156
88	1100.23153260611
89	1124.06038432857
90	1146.92781210403
91	1166.03557803764
92	1178.58544423451
93	1182.96978862909
94	1182.34345247319
95	1181.05189284795
96	1183.44056683449
97	1193.85493151396
98	1215.26398360409
99	1245.13087836904
100	1279.54231070955
101	1314.58497552638
102	1346.34556772029
103	1370.91078219201
104	1385.60496434874
105	1392.70306162335
106	1395.71767195517
107	1398.16139328351
108	1402.77207454035
109	1409.18856862833
110	1416.27497944276
111	1422.89541087896
112	1428.15611419802
113	1432.13193012418
114	1435.1398467475
115	1437.496852158
116	1439.51993444573
117	1441.44500179301
118	1443.18364275125
119	1444.56636596415
120	1445.42368007543
121	1445.58609372876
122	1444.88411556786
123	1443.19928278775
124	1440.61724678876
125	1437.27468752255
126	1433.30828494078
127	1428.85471899512
128	1424.0690884382
129	1419.18016722662
130	1414.43514811795
131	1410.08122386976
132	1406.31552828375
133	1403.13495933814
134	1400.48635605526
135	1398.31655745744
136	1396.57240256703
137	1395.19962345851
138	1394.13952441497
139	1393.33230277166
140	1392.71815586383
141	1392.23728102672
142	1391.82987559558
143	1391.41442370419
144	1390.82255668046
145	1389.86419265084
146	1387.71200858914
147	1380.98971685862
148	1365.68378866989
149	1337.78069523358
150	1294.91372782656
151	1241.30345799071
152	1182.81727733416
153	1125.32257746507
154	1074.68674999155
155	1036.77718652175
156	1015.7319085852
157	1008.77145739704
158	1011.38700409378
159	1019.06971981196
160	1027.3107756881
161	1032.55645634633
162	1035.07350036115
163	1036.08375979466
164	1036.80908670897
165	1038.47133316618
166	1041.48604130804
167	1043.0435135949
168	1039.52774256675
169	1027.58210355047
170	1004.88750302044
171	969.38423023793
172	919.012574464194
