age	SL_Marcilly_ML
0	0
1	-1.55536491128162
2	-2.79340428672288
3	-3.73366812632377
4	-4.39570643008431
5	-4.79906919800449
6	-4.96330643008431
7	-4.90796812632378
8	-4.65260428672288
9	-4.21676491128162
10	-3.62
11	-2.88681710646206
12	-2.06155399858797
13	-1.19350599788196
14	-0.331968425848234
15	0.473763396008988
16	1.17439414618549
17	1.72062850317706
18	2.06317114547948
19	2.15272675158853
20	1.94
21	1.40048333712985
22	0.60882028107477
23	-0.335557882148384
24	-1.33321986652275
25	-2.28473438603146
26	-3.09067015465765
27	-3.65159588638446
28	-3.86808029519504
29	-3.6406920950725
30	-2.87
31	-1.48936624205735
32	0.436672874288893
33	2.8107875264755
34	5.53564789193922
35	8.51392414811684
36	11.6482864724451
37	14.8414050423608
38	17.9959500353007
39	21.0145916287015
40	23.8
41	26.2839816310996
42	28.5148882217697
43	30.5702077762464
44	32.5274282987659
45	34.4640377935641
46	36.4575242648772
47	38.5853757169413
48	40.9250801539924
49	43.5541255802666
50	46.55
51	49.9610597176591
52	53.7191342386325
53	57.7269213685389
54	61.8871189129973
55	66.1024246776267
56	70.275536468046
57	74.309152089874
58	78.1059693487298
59	81.5686860502321
60	84.6
61	87.1716194982639
62	89.5312948237005
63	91.995786749598
64	94.8818560492448
65	98.5062634959289
66	103.185769862939
67	109.237135923563
68	116.977122451089
69	126.722490218805
70	138.79
71	153.322952289285
72	169.770806466566
73	187.409561633069
74	205.515216890024
75	223.363771338657
76	240.231224080199
77	255.393574215876
78	268.126820846916
79	277.706963074548
80	283.41
81	284.755931344595
82	282.240759310037
83	276.604486718126
84	268.587116390661
85	258.928651149441
86	248.369093816266
87	237.648447212935
88	227.506714161248
89	218.683897483003
90	211.92
91	207.747442332334
92	205.868316293285
93	205.777131494426
94	206.968397547332
95	208.936624063577
96	211.176320654736
97	213.181996932383
98	214.448162508093
99	214.469326993441
100	212.74
101	208.923779326067
102	203.360615516823
103	196.55954730417
104	189.029613420013
105	181.279852596252
106	173.819303564791
107	167.157005057532
108	161.801995806379
