age	SL_Verard
5	9.63502520616935
6	8.84314251620336
7	8.85606376141065
8	9.59769996218118
9	10.9919621389049
10	12.9627613119719
11	15.434008501772
12	18.3214720777355
13	21.5000969283286
14	24.8320613212928
15	28.1795391767754
16	31.4047044149239
17	34.3697309558859
18	36.9367944211272
19	39.0137151940314
20	40.6729356192352
21	42.0239979981981
22	43.1764446323792
23	44.2398178232379
24	45.3236598722334
25	46.5375130808252
26	47.9909197504724
27	49.7900003984223
28	51.9700263284475
29	54.4995252883274
30	57.344425290544
31	60.4706543475791
32	63.8441404719146
33	67.4308118382912
34	71.1999556775879
35	75.1328573876225
36	79.21348014117
37	83.4257871110054
38	87.7529901477966
39	92.1660828630418
40	96.6261275267334
41	101.093898632626
42	105.529314621449
43	109.874824329883
44	114.056557779806
45	118.000019433003
46	121.630713751261
47	124.881014917836
48	127.764436120311
49	130.347451833739
50	132.697447200175
51	134.881807361672
52	136.967917460286
53	139.023162638069
54	141.114462508712
55	143.286480404098
56	145.552301534163
57	147.922609388395
58	150.408087456279
59	153.019419227303
60	155.767288190954
61	158.662372804692
62	161.698001360766
63	164.811331723526
64	167.928175225374
65	170.974343198714
66	173.875646975949
67	176.557897889482
68	178.947022092356
69	181.000629364216
70	182.751019145232
71	184.241247245048
72	185.514369473312
73	186.613441639667
74	187.581519553761
75	188.461659025239
76	189.296915863748
77	190.131169246146
78	191.01779714149
79	192.016271355496
80	193.186163722719
81	194.587046077713
82	196.278490255032
83	198.320068089231
84	200.771351414863
85	203.660956812816
86	206.88108693863
87	210.286379011102
88	213.731469101656
89	217.070993281713
90	220.159587622695
91	222.851888196025
92	225.00295725534
93	226.511816302736
94	227.359048203559
95	227.5340954718
96	227.026400621448
97	225.825406166494
98	223.920554620929
99	221.301288498742
100	217.99043730465
101	214.156536683712
102	210.007860071959
103	205.752681797659
104	201.599276189078
105	197.747476097528
106	194.310525567479
107	191.350838567333
108	188.930181820917
109	187.11032205206
110	185.953025984589
111	185.520060342333
112	185.850241845907
113	186.818863056167
114	188.230241792054
115	189.888407850795
116	191.597391029616
117	193.161221125742
118	194.383927936399
119	195.069541258813
120	195.022090890209
121	194.064044741772
122	192.119307288358
123	189.146480645837
124	185.10419724017
125	179.951089497316
126	173.646770872308
127	166.314253822312
128	158.421332651555
129	150.439502835798
130	142.532817872437
131	134.723912143705
132	127.088285781818
133	119.779681232733
134	112.952150742339
135	106.635855683625
136	100.743041653793
137	95.1815588941242
138	89.8863702742969
139	84.8414297746536
140	80.035840192006
141	75.4597365151025
142	71.1170787058014
143	67.0216972643593
144	63.1876357446606
145	59.6289377005893
146	56.3501926895134
147	53.2776267994581
148	50.2987211675103
149	47.3006816240561
150	44.1707139994818
151	40.7960241241737
152	37.0776642219397
153	33.0401156571845
154	28.7726694924497
155	24.3651910715623
156	19.9073439281246
157	15.4575414670175
158	11.0094317357137
159	6.54861982929739
160	2.06071084285281
161	-2.46779309825949
162	-7.00638859293332
163	-11.4614872490199
164	-15.7346309294738
165	-19.72736149725
166	-23.343326694216
167	-26.5348766404347
168	-29.3032127221752
169	-31.6516719823095
170	-33.5835914637091
171	-35.102308209246
172	-36.2111592617919
173	-36.9134378197822
174	-37.2034996550738
175	-37.0559327746615
176	-36.4426770570847
177	-35.3356723808829
178	-33.7068586245953
179	-31.5281756667614
180	-28.7716138326051
181	-25.4126936305848
182	-21.4327182826085
183	-16.813526651907
184	-11.5369576017112
185	-5.62583534756334
186	0.641762791969638
187	6.88965941641754
188	12.7426842463262
189	18.062786762878
190	23.2316495703556
191	28.6998575964759
192	34.8914680783318
193	41.7601788629048
194	48.8559426337054
195	55.7156047042339
196	61.9446994777141
197	67.5084565915695
198	72.4894471577787
199	76.9700313426655
200	81.0030509797707
201	84.5859884166906
202	87.7102320633883
203	90.367170329827
204	92.54819162597
205	94.2446843617803
206	95.4544787232845
207	96.226581032571
208	96.6344092132595
209	96.7515317087048
210	96.6515169622614
211	96.4079334172841
212	96.0943495171274
213	95.7843337051462
214	95.5514544246949
215	95.462151747655
216	95.5393544878595
217	95.7895772915246
218	96.2193045688103
219	96.8350207298767
220	97.6432101848837
221	98.6503573439914
222	99.8629466173597
223	101.287462415149
224	102.893701391203
225	104.477644404186
226	105.783848957675
227	106.556864757954
228	106.541241511302
229	105.481528924001
