age	GMST_Valdes_Foster
13	17.7143077838687
14	17.7593721678228
15	17.8365165818555
16	17.9447500434158
17	18.0830815699529
18	18.2505201789158
19	18.4460749282333
20	18.6693663555868
21	18.9221708854245
22	19.2067398255508
23	19.5245573440109
24	19.864468403933
25	20.2049583293158
26	20.52724133615
27	20.8255532093752
28	21.0976219124527
29	21.3415628708553
30	21.5639762404214
31	21.7797168142455
32	22.0038030177222
33	22.2439652320334
34	22.4982419261058
35	22.7640007571724
36	23.0382419131341
37	23.2998431872911
38	23.5020146156198
39	23.6195081119607
40	23.6643608295895
41	23.6519089941261
42	23.5974888311901
43	23.5164365664014
44	23.4240884253799
45	23.3357806337453
46	23.2668494171174
47	23.232631001116
48	23.2475839037666
49	23.2999460855941
50	23.3478678661228
51	23.3478438491596
52	23.2563686385111
53	23.029936837984
54	22.6310886736085
55	22.0649560345655
56	21.3720753967461
57	20.7304165566142
58	20.2192266275143
59	19.5521349482636
60	18.3882647775077
61	16.6979223171853
62	14.9649357981693
63	13.7201230373448
64	13.4943018515971
65	14.8182900578113
66	17.7455956357477
67	16.3650082084148
68	15.4215395500167
69	15.7293527056707
70	16.8390869506636
71	18.3013815602821
72	19.6636026905178
73	20.4889961116657
74	21.1751182587831
75	22.0385422608593
76	22.7309362595693
77	23.2097463695126
78	23.4743853027329
79	23.5242657712737
80	23.358800487179
81	22.9893385480206
82	22.6602346095844
83	22.554331292916
84	22.6124403024169
85	22.7675655807625
86	22.9527110706283
87	23.1008807146899
88	23.1450784556226
89	23.0183082361021
90	22.6535739988038
91	21.9911299932169
92	21.3114773260252
93	21.1562871473429
94	21.4747361586682
95	22.1035781061507
96	22.8795667359402
97	23.6396601261338
98	24.2637921505238
99	24.7332494981586
100	25.0902567644499
101	25.3987078146951
102	25.6819407728833
103	25.9311073787741
104	26.1364825399552
105	26.2883568188485
106	26.3787795086946
107	26.4031450606557
108	26.3572225955245
109	26.2367812340939
110	26.0375900971566
111	25.7554183055053
112	25.3922560929608
113	25.0026826872179
114	24.6676328534752
115	24.4393038530434
116	24.2974433394639
117	24.2106443695213
118	24.1475
119	24.0816191374784
120	24.0066740877094
121	23.9213530062398
122	23.8243440486161
123	23.7143353703851
124	23.590031945859
125	23.4539733220544
126	23.317390516737
127	23.1927119362098
128	23.0923659867761
129	23.0287810747392
130	23.0143756078447
131	23.0548783674576
132	23.137738749198
133	23.2473124476651
134	23.3679551574578
135	23.4840225731752
136	23.5798703894165
137	23.6398543007805
138	23.6483300018665
139	23.5896531872735
140	23.4483927636162
141	23.2245518455041
142	22.9437134004495
143	22.6338665413001
144	22.3230003809037
145	22.0388033079726
146	21.7971426065105
147	21.5984536286038
148	21.4421327140282
149	21.3275762025592
150	21.2541804339722
151	21.2207939383184
152	21.2235802815218
153	21.257881749101
154	21.3190404182499
155	21.4023983661625
156	21.5032976700326
157	21.6170804070541
158	21.7390886544209
159	21.8646644893269
160	21.9891499889661
161	22.1081498247935
162	22.2192035769372
163	22.3207157824165
164	22.4110950097207
165	22.488749827339
166	22.5520888037607
167	22.5995205074753
168	22.6294535069718
169	22.6402963707397
170	22.6305848789945
171	22.6011134840742
172	22.5546170752939
173	22.4938936461678
174	22.4217411902097
175	22.3409577009337
176	22.2543411718539
177	22.1646895964842
178	22.0748009683386
179	21.9874732809312
180	21.9056823371352
181	21.8340166947129
182	21.7779237604829
183	21.7428589336629
184	21.7342776134702
185	21.7576351991223
186	21.8183870898368
187	21.9220279172142
188	22.0743370885151
189	22.2812196506075
190	22.5485812014254
191	22.8819747396117
192	23.2650659210689
193	23.6471676544091
194	23.9788791325486
195	24.235975941851
196	24.4033851458661
197	24.4660468308809
198	24.4089010831822
199	24.2211592126619
200	23.9403047587908
201	23.6343212984666
202	23.3716726051583
203	23.2208224523349
204	23.2502346134656
205	23.5283728620193
206	24.1045252119
207	24.8567729956736
208	25.5731849145774
209	26.0410284484061
210	26.0475710769541
211	25.380080280016
212	23.8258235373863
213	21.5114277286216
214	20.2878950887332
215	20.1884377281772
216	20.8582792315185
217	21.942643183322
218	23.0867531681526
219	23.947446586558
220	24.4164750122393
221	24.6038946178334
222	24.6280478766131
223	24.607277261851
224	24.6515402658697
225	24.7686911522712
226	24.8984449239547
227	24.9798041791143
228	24.9767817518719
229	24.8886994743958
230	24.7175455740257
231	24.4653082781014
232	24.1339758139628
233	23.7255364469378
234	23.2562560896728
235	22.7971543569618
236	22.4284628582924
237	22.090635392114
238	21.551542095504
239	20.8382139647932
240	20.3447632124082
241	19.779763065651
242	18.9091320429729
243	18.0875036916228
244	17.7452947076507
245	18.2786594049876
246	19.3063127866096
247	20.074402692975
248	20.5525300527086
249	20.793283071785
250	20.8492499561787
251	20.7730189118645
252	20.6171781448167
253	20.4343158610101
254	20.2732485249917
255	20.117560216715
256	19.8957020643419
257	19.5343912735766
258	18.9743763460985
259	18.2778171077867
260	17.5790574344626
261	17.0494633300007
262	16.7657649385946
263	16.622259716801
264	16.4946750195224
265	16.2587382016612
266	15.8041206172327
267	15.2357940604144
268	14.8279410636475
269	14.8593022154388
270	15.608618104295
271	17.0342614894084
