clade	species	ts	te
0.0	Cypridea_aaleyensis	128.6438770874409	116.99596512103119
0.0	Cypridea_aculeata	136.42716455535557	134.06964933858336
0.0	Cypridea_aemulans	142.8399972789728	138.19638795664955
0.0	Cypridea_alcaramae	136.18821315122148	135.758123101401
0.0	Cypridea_aleksandrowiensis	142.73962651510513	142.58451376533765
0.0	Cypridea_alta	141.38965463887638	139.78953418654186
0.0	Cypridea_altissima	142.34123874932752	141.27466966294662
0.0	Cypridea_amisia	142.485247897429	141.30705797373977
0.0	Cypridea_andersoni	141.8627349308193	140.4201490323703
0.0	Cypridea_aragonensis	129.8887486707467	124.0743693321033
0.0	Cypridea_arenosa	135.8755243789538	134.5408728593986
0.0	Cypridea_asseri	135.86981378738787	134.51868757190573
0.0	Cypridea_baidarensis	130.39590130363302	117.35809228229282
0.0	Cypridea_bimammata	141.6502428678687	139.2416966281663
0.0	Cypridea_binodosa	144.07976433518334	142.57824468804685
0.0	Cypridea_bispinosa	136.36896398644987	132.5046733895939
0.0	Cypridea_blackbushensis	137.70747078678787	134.63273077220774
0.0	Cypridea_boulmanensis	117.7523661798618	116.61601186238863
0.0	Cypridea_brendae	128.71269290228904	127.11056072170722
0.0	Cypridea_brevirostrata	142.05679977307773	138.67811683046833
0.0	Cypridea_bullata	118.89555253319533	117.86457317499173
0.0	Cypridea_buxtorfi	143.56673345350455	143.41104463411637
0.0	Cypridea_caudata	122.69883379114792	121.81255862445626
0.0	Cypridea_cidacosia	130.6563893627636	122.63003654797546
0.0	Cypridea_clavata	132.11691607766076	120.84357195589956
0.0	Cypridea_coelnothi	143.41263048374483	142.47821240575405
0.0	Cypridea_comptonensis	123.50291229430294	122.22534694064942
0.0	Cypridea_cornuta	130.93403862040617	122.99846576486767
0.0	Cypridea_cuckmerensis	123.11037597743979	120.8722491806818
0.0	Cypridea_cyrtorostralis	126.88164922387223	116.9930847777278
0.0	Cypridea_daoudensis	128.57082456683565	124.2755616873969
0.0	Cypridea_darvelensis	142.02396566342665	140.76519766695665
0.0	Cypridea_delicatula	143.41449971422713	142.60156172366723
0.0	Cypridea_demandae	130.00460047541478	120.73754160257603
0.0	Cypridea_demnatensis	152.5301023294933	151.91541886193863
0.0	Cypridea_dolabrata	141.62068943301432	137.69112357416574
0.0	Cypridea_dorsispinata	132.4578629095491	127.82881807144074
0.0	Cypridea_dorsoinclinata	139.52113936940367	139.21776191148908
0.0	Cypridea_dunkeri	147.1015943414834	142.19213716638168
0.0	Cypridea_fasciata	124.14519942233423	120.84390493296932
0.0	Cypridea_frithwaldi	136.43280361894617	134.40048378102782
0.0	Cypridea_funduklensis	142.38283476193763	139.53837559638598
0.0	Cypridea_giffordi	135.85574013449136	134.54601595468955
0.0	Cypridea_granulosa	145.03051624712248	140.47751055280554
0.0	Cypridea_hamata	123.3331356711267	120.78476884187842
0.0	Cypridea_helenae	136.14421393404933	134.54676695397953
0.0	Cypridea_heliopolisensis	130.47035893695937	117.09840008193082
0.0	Cypridea_hispida	126.74073918673187	125.66858003210034
0.0	Cypridea_inaequalis	142.12509598384983	140.44073281713816
0.0	Cypridea_isasae	129.7953509098891	121.63404835421352
0.0	Cypridea_laevigata	141.5416888109281	132.52617400863008
0.0	Cypridea_lasius	136.36328560838606	133.38581589739894
0.0	Cypridea_lata	144.44976221701216	140.6017495397754
0.0	Cypridea_libanensis	131.51366634141343	117.51704608391086
0.0	Cypridea_marina	128.74803094921953	125.80125561302611
0.0	Cypridea_martini	142.0717319320193	141.30534363284633
0.0	Cypridea_melvillei	139.29760181501814	133.19957314770147
0.0	Cypridea_menevensis	139.6426047689977	135.13094249348492
0.0	Cypridea_mirabilis	143.75759023885237	143.6018655433354
0.0	Cypridea_modesta	127.55502018735187	126.78576978812788
0.0	Cypridea_mohandi	157.10645230523306	150.33151016103162
