age	GMST_Mills
6	15.826595621039
7	15.8271735466956
8	15.8456854230241
9	15.8816306191491
10	15.9345085041952
11	16.0038184472868
12	16.0890598175485
13	16.1897319841047
14	16.30533431608
15	16.4353751651346
16	16.5795753608025
17	16.7378715291687
18	16.9102099426392
19	17.0965368736201
20	17.2967985945174
21	17.5109413777372
22	17.7389114956854
23	17.9806552207682
24	18.2361188253916
25	18.5052327695701
26	18.7870826809647
27	19.0795011885259
28	19.3802194788299
29	19.6869687384523
30	19.9974801539693
31	20.3094849119567
32	20.6207141989904
33	20.9288992016464
34	21.2317711065006
35	21.5270595747543
36	21.8121931953753
37	22.0839394631895
38	22.338978048425
39	22.5739886213099
40	22.7856508520722
41	22.9706444109401
42	23.1256489681415
43	23.2473441939046
44	23.3324097584573
45	23.3775255482944
46	23.3804814814548
47	23.3427619231436
48	23.2666188782918
49	23.1543043518301
50	23.0080703486895
51	22.8301688738007
52	22.6228519320946
53	22.388371528502
54	22.1289796679538
55	21.8469283553808
56	21.545631132299
57	21.2344610254389
58	20.9246971131751
59	20.627619323579
60	20.3545075847221
61	20.1166418246757
62	19.9253019715114
63	19.7917679533006
64	19.7273196981148
65	19.7432371340253
66	19.8506055764367
67	20.0501556888967
68	20.327285721347
69	20.6661554199711
70	21.0509245309527
71	21.4657528004751
72	21.894799974722
73	22.3222257998768
74	22.7322814158265
75	23.1152817514208
76	23.4712903126015
77	23.8012514401741
78	24.1061094749439
79	24.3868087577166
80	24.6442936292975
81	24.8795084304921
82	25.0933975021059
83	25.2869051849444
84	25.4609774354942
85	25.6170392247558
86	25.7576606550522
87	25.8855793473048
88	26.0035329224352
89	26.1142590013649
90	26.2204952050154
91	26.3249791543082
92	26.4304484701649
93	26.5396407735071
94	26.6552936605438
95	26.7792628980847
96	26.9101929806706
97	27.045997631879
98	27.1845905752871
99	27.3238855344721
100	27.4617962330116
101	27.5962363944827
102	27.7251197424629
103	27.8463600005294
104	27.9578708922595
105	28.0577590483582
106	28.1452163323872
107	28.2198138024578
108	28.2811229137938
109	28.3287151216192
110	28.3621618811578
111	28.3810346476335
112	28.3849048762702
113	28.3733440222919
114	28.3459235409224
115	28.3023750207997
116	28.2438569938858
117	28.1722770260837
118	28.0895493136805
119	27.9975880529634
120	27.8983074402196
121	27.7936216717361
122	27.6854449438001
123	27.5756914526988
124	27.4662753947193
125	27.3590335590259
126	27.2546389184037
127	27.1528656768166
128	27.0534647529322
129	26.9561870654178
130	26.860783532941
131	26.7670050741692
132	26.6746026077699
133	26.5833270524105
134	26.4929293267584
135	26.4031675990699
136	26.3140085247529
137	26.2256534708945
138	26.1383163221669
139	26.0522109632425
140	25.9675512787935
141	25.8845511534923
142	25.8034244720112
143	25.7243851190223
144	25.6476469791982
145	25.5734245494168
146	25.5019759294276
147	25.4336310813267
148	25.3687266774366
149	25.3075993900801
150	25.2505858915799
151	25.1980228542587
152	25.1502469504392
153	25.107594852444
154	25.0704032325959
155	25.0390100549477
156	25.0141940291862
157	24.9978155526027
158	24.9918979436309
159	24.9984645207044
160	25.0195386022569
161	25.0571435067219
162	25.1133025525332
163	25.1900390581245
164	25.2893763419293
165	25.4133377141258
166	25.5631269115916
167	25.7368793166633
168	25.93201238703
169	26.1459435803809
170	26.3760903544052
171	26.619870166792
172	26.8747004752306
173	27.1379987374101
174	27.4071824110197
175	27.6796689537486
176	27.9528275414899
177	28.2237479027834
178	28.4894194630821
179	28.7468315179218
180	28.9929733628384
181	29.2248342933678
182	29.4394036050457
183	29.633670593408
184	29.8046245539905
185	29.949254782329
186	30.0649416937825
187	30.1526613520885
188	30.2153256132247
189	30.2558650299028
190	30.2772101548343
191	30.2822915407306
192	30.2740397403034
193	30.2553853062641
194	30.2292587913244
195	30.1985907481956
196	30.1662426751813
197	30.1339987490551
198	30.1027906924113
199	30.073526921028
200	30.0471158506837
201	30.0244658971566
202	30.0064854762252
203	29.9940830036676
204	29.9881668952623
205	29.9896455667876
206	29.9994062839515
207	30.0176979579501
208	30.0440332556252
209	30.0778839907757
210	30.1187219772006
211	30.1660190286989
212	30.2192469590694
213	30.2778775821111
214	30.3413827116231
215	30.4092341614041
216	30.4808970331843
217	30.5553220316557
218	30.6305906909247
219	30.7047006992753
220	30.7756497449917
221	30.8414355163579
222	30.9000557016582
223	30.9495079891765
224	30.987790067197
225	31.0128996240039
226	31.0228353061314
227	31.0159754400887
228	30.99165507303
229	30.9493575936244
230	30.888566390541
231	30.8087648524488
232	30.7094363680169
233	30.5900643259144
234	30.4501321148103
235	30.2891231233737
236	30.106520741288
237	29.9023083936782
238	29.6783941907092
239	29.4371492560766
240	29.1809447134761
241	28.9121516866033
242	28.6331412991539
243	28.3462846748234
244	28.0539529373075
245	27.7585172103019
246	27.4623486175022
247	27.1678365443168
248	26.8774791306571
249	26.5938146114918
250	26.3193812849411
251	26.0567174491255
252	25.8083614021654
253	25.5768514421811
254	25.3647258672929
255	25.1745229756213
256	25.0087810652866
257	24.8697532876645
258	24.7569876314287
259	24.6685385195007
260	24.6024446871862
261	24.5567448697907
262	24.5294778026199
263	24.5186822209793
264	24.5223968601744
265	24.5386604555109
266	24.5655117422942
267	24.6009620058245
268	24.6425779288657
269	24.6875657442545
270	24.7331212979741
271	24.7764404360074
272	24.8147190043373
273	24.845152848947
274	24.8649378158195
275	24.8712697509377
276	24.8613445002846
277	24.8324119601772
278	24.7834359357758
279	24.7154054021338
280	24.6294261807955
281	24.5266040933052
282	24.4080449612073
283	24.2748546060462
284	24.1281388493662
285	23.9690035127117
286	23.7985544176271
