age	GMST_Landwehrs_proxy
60	16.7
61	16.482114845002
62	16.239572267503
63	15.985972267503
64	15.734914845002
65	15.5
66	15.2984792169972
67	15.1622099184947
68	15.1267010114935
69	15.2274614029949
70	15.5
71	15.9615682870091
72	16.5563880585183
73	17.2104236865231
74	17.8496395430185
75	18.4
76	18.8080476349665
77	19.102637847432
78	19.3332042424143
79	19.549180424931
80	19.8
81	20.1142411731249
82	20.4370605517536
83	20.6927593438198
84	20.8056387572573
85	20.7
86	20.3309876725338
87	19.7771199455537
88	19.1477583823066
89	18.5522645460397
90	18.1
91	17.8738081367397
92	17.8504596660316
93	17.9802071269537
94	18.2133030585838
95	18.5
96	18.7969797805073
97	19.0866413903198
98	19.3578131098786
99	19.5993232196249
100	19.8
101	19.952672741231
102	20.0661747726892
103	20.153340433532
104	20.2270040629165
105	20.3
106	20.3819292545686
107	20.4694595189232
108	20.5560251559935
109	20.6350605287092
110	20.7
111	20.7444102404946
112	20.7623871516178
113	20.7481589424938
114	20.6959538222466
115	20.6
116	20.4588297834532
117	20.2881918746054
118	20.1081390740311
119	19.9387241823045
120	19.8
121	19.7058706256927
122	19.6456453499605
123	19.6024847613819
124	19.5595494485355
125	19.5
126	19.412887713776
127	19.3108267255527
128	19.2123218804414
129	19.1358780235534
130	19.1
131	19.1161785192033
132	19.1678477478288
133	19.2314277168526
134	19.2833384572509
135	19.3
136	19.2623982094106
137	19.1697822831321
138	19.0259672521482
139	18.8347681474429
140	18.6
141	18.3302286431542
142	18.0530231196429
143	17.8007032745546
144	17.6055889529775
145	17.5
146	17.5046872179728
147	17.5941252382963
148	17.7312196496334
149	17.878876040647
150	18
151	18.0686224849547
152	18.1032759271719
153	18.1336181269117
154	18.1893068844343
155	18.3
156	18.4792228422083
157	18.6759710530162
158	18.8231078427199
159	18.8534964216157
160	18.7
161	18.327286146212
162	17.8272398607634
163	17.3235505022087
164	16.9399074291027
165	16.8
166	16.9868325729437
167	17.4206695039304
168	17.9810901484453
169	18.5476738619734
170	19
171	19.2445835620134
172	19.2956821235152
173	19.1944889040103
174	18.9821971230036
175	18.7
176	18.3868331790028
177	18.0726020020089
178	17.7849542355137
179	17.5515376460122
180	17.4
181	17.3496837219753
182	17.386709868449
183	17.4888941539351
184	17.6340522929474
185	17.8
186	17.9704319330959
187	18.152558524195
188	18.359469148746
189	18.6042531821981
190	18.9
191	19.250988545641
192	19.6262560347711
193	19.9860292510808
194	20.2905349782603
195	20.5
196	20.5864138843401
197	20.5688173367205
198	20.4780138469308
199	20.3448069047607
200	20.2
201	20.0681559169985
202	19.9488746183468
203	19.835515361196
204	19.7214374026967
205	19.6
206	19.467362447666
207	19.3308841898921
208	19.2007247082853
209	19.0870434844523
210	19
211	18.9487942923377
212	18.9387886220847
213	18.9743858056628
214	19.059988659494
215	19.2
216	19.3950603829834
217	19.6307613217692
218	19.8889320690634
219	20.1514018775717
220	20.4
221	20.6189641757289
222	20.8021660908385
223	20.9458859180836
224	21.0464038302191
225	21.1
226	21.104282914101
227	21.0621743148769
228	20.9779242586022
229	20.8557828015517
230	20.7
231	20.5135041678671
232	20.2939366496541
233	20.0376170475076
234	19.7408649635741
235	19.4
236	19.0081004144307
237	18.5452790865068
238	17.9884075513674
239	17.3143573441521
240	16.5
241	15.54929417441
242	14.5745470043189
243	13.7151527470227
244	13.1105056598177
245	12.9
246	13.1763228879291
247	13.8453328962178
248	14.7661814605418
249	15.7980200165772
250	16.8
251	17.6406142738734
252	18.2257214108101
253	18.4705214108101
254	18.2902142738734
255	17.6
