age	LA_WAfSAm
81	2966.002944
82	2864.77538365983
83	2838.65007468482
84	2878.13957265315
85	2973.756433143
86	3116.01321173256
87	3295.422464
88	3500.75320494958
89	3713.8002872898
90	3914.61502315523
91	4083.24872468044
92	4199.752704
93	4253.0544798067
94	4267.58639702619
95	4276.65700714233
96	4313.57486163898
97	4411.648512
98	4590.91738117956
99	4818.34437801304
100	5047.62328280613
101	5232.44787586453
102	5326.51193749392
103	5283.509248
104	5081.62558129931
105	4797.01468575185
106	4530.32230332846
107	4382.194176
108	4412.55659447088
109	4518.45804437972
110	4556.2275600987
111	4382.194176
112	3897.20418577367
113	3180.17292038117
114	2354.53297010184
115	1543.716925215
116	871.157376
117	431.264649507173
118	202.360019870923
119	133.742497996665
120	174.711094789815
121	274.564821155788
122	382.602688
123	457.016371643192
124	491.568210067414
125	488.913206670039
126	451.706364848443
127	382.602688
128	286.752184236379
129	179.284880526417
130	77.825808553247
131	5.6843418860808e-14
132	-41.22548158973
133	-51.5154452305002
134	-41.1926680764054
135	-20.5799272815404
136	0
137	12.3321377285648
138	16.6327143222789
139	15.2257593137108
140	10.4353022354291
141	4.58537262000265
142	-2.1316282072803e-14
143	-1.62906458972214
144	-1.13918410515457
145	-2.66453525910038e-15
146	0.605456529032059
147	0.640595313205002
148	0.355436440775444
149	4.44089209850063e-16
150	-0.223808167913114
151	-0.306539209949278
152	-0.286858520142271
153	-0.20343149252587
154	-0.0949235211338534
155	0
156	0.0513331803569951
157	0.0637081434787707
158	0.0504165164220488
159	0.0247499262435512
160	-1.38777878078145e-16
161	-0.0133832934502166
162	-0.0163166180420449
163	-0.0125582959087649
164	-0.00586664918365656
165	3.46944695195361e-17
166	0.00220678354709305
167	0.00161264951518338
168	0
169	-0.00114582991868293
170	-0.00152777322491057
171	-0.00114582991868293
172	0
