age	BS_WAfSAm
81	5558.02766723463
82	5663.02108567645
83	5723.84097408831
84	5750.02111299872
85	5751.09528293617
86	5736.59726442915
87	5716.06083800616
88	5701.74225873975
89	5716.78767987868
90	5787.06572921576
91	5938.44503454382
92	6196.79422365565
93	6574.12205393799
94	7026.99780115321
95	7498.13087065759
96	7930.23066780741
97	8266.00659795894
98	8463.66859177489
99	8543.42868114369
100	8540.99942326017
101	8492.09337531917
102	8432.42309451555
103	8397.70113804414
104	8410.54204361996
105	8441.16827103873
106	8446.70426061634
107	8384.27445266869
108	8225.20468786348
109	7997.62640827574
110	7743.87245633227
111	7506.27567445993
112	7317.097886078
113	7168.31683857561
114	7041.83926033439
115	6919.57187973593
116	6783.42142516185
117	6618.89726161027
118	6425.91930054548
119	6208.01009004826
120	5968.69217819942
121	5711.48811307975
122	5439.92044277007
123	5168.20226258022
124	4953.30885673632
125	4862.90605669353
126	4964.65969390702
127	5326.23559983195
128	5976.80452592963
129	6791.55690368592
130	7607.1880845928
131	8260.39342014228
132	8628.8641292526
133	8754.27490054703
134	8719.2962900751
135	8606.59885388634
136	8498.85314803028
137	8461.54472702821
138	8491.41913928849
139	8568.03693169124
140	8670.95865111657
141	8779.74484444459
142	8873.95605855544
143	8938.73371783762
144	8981.54275671325
145	9015.42898711282
146	9050.04056755851
147	9081.43504293914
148	9102.27230473521
149	9105.21224442722
150	9086.7186436121
151	9058.47084435255
152	9035.95207882771
153	9034.64557921671
154	9070.03457769871
155	9157.60230645283
156	9305.17135056916
157	9489.92170678155
158	9681.37272473477
159	9849.04375407361
160	9962.45414444286
161	10000.2941728878
162	9977.93782605588
163	9919.93001799495
164	9850.81566275294
165	9795.13967437776
166	9768.64101860747
167	9751.83486794077
168	9716.43044656648
169	9636.96977454519
170	9499.3260554244
171	9292.20528862334
172	9004.31347356127
