age	SDI_WAfSAm
85	1.55345674623683
86	1.59827789145051
87	1.62942657939254
88	1.64834214193648
89	1.65646391095593
90	1.65523121832445
91	1.646386058677
92	1.63288107769401
93	1.6179715838173
94	1.60491288548865
95	1.59696029114989
96	1.59657461949421
97	1.60303873022043
98	1.61484099327875
99	1.63046977861939
100	1.64841345619254
101	1.66716039594842
102	1.68519896783724
103	1.70101754180921
104	1.71310448781452
105	1.7199481758034
106	1.72039387857287
107	1.71471448030727
108	1.70353976803776
109	1.68749952879549
110	1.66722354961162
111	1.6433416175173
112	1.61648351954371
113	1.58727904272199
114	1.55635797408329
115	1.52435010065879
116	1.49188520947963
117	1.45959308757698
118	1.42810352198199
119	1.39804629972582
120	1.37005120783963
121	1.34468794951123
122	1.32228589255509
123	1.30311432094231
124	1.28744251864401
125	1.27553976963132
126	1.26725012064962
127	1.26071666954143
128	1.25365727692354
129	1.24378980341273
130	1.2288321096258
131	1.20744775580381
132	1.18208310068494
133	1.15613020263164
134	1.13298112000637
135	1.11602791117159
136	1.10772153357788
137	1.10674854102833
138	1.11085438641415
139	1.11778452262657
140	1.1252844025568
141	1.13149714022754
142	1.13615649418744
143	1.13939388411661
144	1.14134072969519
145	1.14212845060328
146	1.14188846652103
147	1.14075219712854
148	1.13885106210595
149	1.13631648113338
150	1.13327987389095
151	1.13001756895078
152	1.12738553045295
153	1.12638463142954
154	1.12801574491262
155	1.13327974393427
156	1.14261454513791
157	1.15420623961232
158	1.16567796205762
159	1.17465284717393
160	1.17875402966138
161	1.17632718564422
162	1.16860815694325
163	1.1575553268034
164	1.14512707846958
165	1.13328179518673
166	1.12383335191495
167	1.11801759047503
168	1.11692584440293
169	1.12164944723463
170	1.13327973250608
