age	SL_Haq
4	39.4486667605742
5	44.1848022211356
6	48.2328944987469
7	51.6346588801869
8	54.4318106522346
9	56.6667903385682
10	58.3854101353626
11	59.6344613291827
12	60.4607353126716
13	60.911023478472
14	61.0321172192269
15	60.8708079275793
16	60.4737398889814
17	59.880707614196
18	59.1218916000066
19	58.2267523937913
20	57.2247505429285
21	56.1453465947962
22	55.0180010967727
23	53.872174596236
24	52.7373276405644
25	51.642920777136
26	50.618414553329
27	49.7208200047787
28	49.1621630471005
29	49.2086420441324
30	50.1265121629726
31	52.1820285707188
32	55.6414464344692
33	60.7683546070059
34	67.551060345396
35	75.4669743957886
36	83.9413540164676
37	92.4152909747277
38	100.456848144728
39	107.997362422405
40	115.0300354418
41	121.537846978502
42	127.523740742853
43	133.095870593664
44	138.394972581676
45	143.508034872074
46	148.37576773693
47	152.914235403955
48	157.051232522624
49	160.786661380854
50	164.147804224878
51	167.161995942362
52	169.856571420974
53	172.259262955085
54	174.402037736992
55	176.319422814591
56	178.045980785248
57	179.616274246329
58	181.064865795199
59	182.426318029224
60	183.735183069806
61	185.019785785833
62	186.291719626227
63	187.55979695776
64	188.832830147201
65	190.119631561321
66	191.42901356689
67	192.769788530678
68	194.150768819455
69	195.580766799992
70	197.068348741672
71	198.609945083506
72	200.184549751326
73	201.769806595887
74	203.343359467943
75	204.88285221825
76	206.365928697561
77	207.770232756633
78	209.073422487359
79	210.257727313246
80	211.316470402462
81	212.244625177273
82	213.037165059948
83	213.689063472755
84	214.195293837962
85	214.550829577836
86	214.750644114646
87	214.789710870658
88	214.663003268142
89	214.36393251717
90	213.871843734635
91	213.158635739867
92	212.196139465028
93	210.95618584228
94	209.410605803786
95	207.531230281707
96	205.289890208208
97	202.658464424814
98	199.629643299674
99	196.249375537707
100	192.572008350779
101	188.651888950754
102	184.543364549498
103	180.300782358877
104	175.976302768404
105	171.545040113122
106	166.886402578158
107	161.873824392645
108	156.380739785716
109	150.284694606997
110	143.690737653305
111	137.045932252769
112	130.825555731866
113	125.504883205495
114	121.44391102343
115	118.578012615853
116	116.744817244791
117	115.781954172273
118	115.527052660327
119	115.817741970982
120	116.491651366264
121	117.386410108204
122	118.339647458829
123	119.189182950031
124	119.804266840947
125	120.120337171153
126	120.081207414708
127	119.63069104567
128	118.712601538098
129	117.27075236605
130	115.248957003586
131	112.591028924763
132	109.253855625968
133	105.358428417204
134	101.137665656665
135	96.8266430042845
136	92.6604361199971
137	88.8741206637369
138	85.7027722954383
139	83.3814666750353
140	82.1391909132791
141	82.0463362037735
142	83.0036458795028
143	84.9035611905947
144	87.6385233871769
145	91.1009737193772
146	95.1810302541226
147	99.6329017702127
148	104.002115607991
149	107.816477220373
150	110.603792060273
151	111.908644401778
152	111.683783006062
153	110.302879744542
154	108.158937792303
155	105.644960324433
156	103.147305273589
157	100.871527322004
158	98.8253267850762
159	97.0063398274921
160	95.4122026139371
161	94.0405513090968
162	92.8890220776568
163	91.9552510843028
164	91.2368722251929
165	90.6963366109413
166	90.1719097227842
167	89.4744707093258
168	88.4148987191708
169	86.8040729009235
170	84.4528724031883
171	81.1759501836547
172	77.0483429686194
173	72.5695211515975
174	68.2780146576219
175	64.7123534117258
