age	BN_WAfSAm
81	1065
82	1043.78151091926
83	1024.93496292536
84	1007.99694692739
85	992.504053834448
86	977.992874555621
87	964
88	949.96129403757
89	934.909712381897
90	917.777483707438
91	897.496836688653
92	873
93	843.73199451502
94	811.189009903581
95	777.380028034632
96	744.314030777122
97	714
98	687.903352312556
99	665.315243285438
100	644.983263229634
101	625.655002456135
102	606.078051275927
103	585
104	562.11174206186
105	540.877383385084
106	525.704333015766
107	521
108	529.437136783969
109	546.74986941421
110	566.937667337345
111	584
112	593.813047928495
113	599.759835967938
114	607.100100043134
115	621.093576078886
116	647
117	688.221905597444
118	740.73301812685
119	798.649860710013
120	856.088956468728
121	907.166828524792
122	946
123	968.484404752739
124	977.633619587764
125	978.240632046418
126	975.098429670049
127	973
128	975.489834339962
129	981.118439043006
130	987.187824224547
131	991
132	990.498791750177
133	986.195285917473
134	979.242384209681
135	970.792988334592
136	962
137	953.805260154532
138	946.306366710167
139	939.389856819717
140	932.942267635996
141	926.85013631182
142	921
143	915.361102050877
144	910.233510604889
145	906
146	902.923621874945
147	900.788537071537
148	899.25918373236
149	898
150	896.710947186791
151	895.234079284075
152	893.446973452945
153	891.227206854494
154	888.452356649815
155	885
156	880.873387500446
157	876.578463483759
158	872.74684571685
159	870.010151966626
160	869
161	870.132375673778
162	872.960737204365
163	876.822910898063
164	881.056723061174
165	885
166	888.158535334408
167	890.709991938514
168	893
169	895.320156103838
170	897.745922424165
171	900.298727532409
172	903
