age	PI_WAfSAm
81	0.733063817024231
82	0.732909928912922
83	0.732617902388001
84	0.732218873588342
85	0.731743978652816
86	0.731224353720297
87	0.730691134929657
88	0.730180333326349
89	0.729747459582145
90	0.729452899275399
91	0.729357037984463
92	0.729520261287689
93	0.729978137057205
94	0.730666962340236
95	0.731498216477782
96	0.732383378810844
97	0.73323392868042
98	0.733973641880945
99	0.734575480020582
100	0.735024701160929
101	0.735306563363585
102	0.735406324690145
103	0.735309243202209
104	0.735003296745749
105	0.73448734230424
106	0.733762956645532
107	0.732831716537476
108	0.731736909713295
109	0.730688667767699
110	0.729938833260771
111	0.729739248752594
112	0.730186510936369
113	0.730756233037767
114	0.73076878241558
115	0.729544526428597
116	0.726403832435608
117	0.72091085306464
118	0.713604882020661
119	0.705268998277878
120	0.696686280810496
121	0.68863980859272
122	0.681912660598755
123	0.677076950304982
124	0.673860929196478
125	0.671781883260495
126	0.670357098484286
127	0.669103860855103
128	0.66763516974407
129	0.6659468780578
130	0.664130552086779
131	0.66227775812149
132	0.660467953713457
133	0.65873216145835
134	0.657089295212879
135	0.65555826883375
136	0.654157996177673
137	0.652901614330719
138	0.651779153296416
139	0.650774866307653
140	0.649873006597321
141	0.649057827398311
142	0.648313581943512
143	0.647608049503388
144	0.646843113498694
145	0.645904183387756
146	0.644717749365956
147	0.643374624576894
148	0.642006702901226
149	0.640745878219604
150	0.639691861136318
151	0.638815629150192
152	0.638055976483684
153	0.637351697359249
154	0.636641585999347
155	0.635864436626434
156	0.634988046068452
157	0.634096221575276
158	0.633301773002265
159	0.632717510204779
160	0.632456243038177
161	0.632591303022715
162	0.633038108338239
163	0.633672598829494
164	0.634370714341223
165	0.63500839471817
166	0.635493905249057
167	0.635864812998516
168	0.636191010475159
169	0.636531991377494
170	0.636905654163615
171	0.637319498481516
172	0.637781023979187
