Age	SL_Verard
4.18463377	10.92917755
11.07503859	15.63751004
17.96544341	36.85622861
26.47711995	48.80065618
32.96220684	67.29178902
37.42070408	85.23340827
41.47388338	103.2025032
46.33769855	122.7730378
53.6334213	140.3396318
60.92914405	158.4521712
67.81954887	178.5408186
76.33122541	189.5710553
84.0322661	200.8579399
91.73330678	224.4901472
99.02902953	221.2144752
104.2981626	200.4114601
111.1885674	185.524637
120.1055619	194.9662798
125.7800129	175.1338342
128.2119205	156.7251284
130.6438281	137.4921522
133.4810536	116.427464
136.7235971	96.69076696
140.3714584	78.30953683
145.2352736	58.83320459
151.25714	39.87498517
155.7735398	20.91676576
160.637355	-0.820422464
165.5011701	-21.59203678
172.7968929	-36.80357251
179.6872977	-29.69736247
184.145795	-10.71166738
187.7936563	11.5848472
191.4415177	31.3261235
195.0893791	56.3015169
198.7372405	75.8367256
205.2223273	94.55515726
214.1393218	95.52929502
223.0563163	101.3741216
229.9467211	103.2849302
233.5945825	83.36506201
236.0264901	62.75830177
238.8637156	35.69475667
240.8903052	15.36275324
242.9168949	-5.724831399
245.1461435	-20.35563116
250.6179356	-44.59667457
258.7242942	-41.4661122
266.7630998	-22.07286118
275.7476473	-17.02108269
284.6646417	-33.05688883
293.5816362	-39.27638374
300.472041	-22.96582079
304.1199024	-7.304683017
307.3624458	12.36790408
313.8475327	28.53859084
319.9273017	15.29406404
322.7645272	-4.557114986
327.1072193	-33.87366588
336.5453369	-41.22465925
341.5249571	-23.13964653
345.2596724	1.487534682
347.8942389	19.95511695
351.9474182	40.93040019
355.1899617	60.01073374
362.4856844	73.6569883
370.592043	89.75940215
379.5090375	103.097596
388.426032	107.4437491
397.3430264	104.3714685
406.2600209	104.3714685
415.1770154	116.660591
424.0940099	120.1075399
433.0110043	107.7434838
441.9279988	102.4981267
449.6290395	115.5459526
456.1141264	134.9163072
463.8151671	155.0266318
472.7321615	157.049841
479.2172484	134.8544869
483.2704277	115.8962675
489.7555146	100.6997185
498.6725091	105.4205399
506.7788677	95.63753254
514.0745904	76.77089873
522.1809491	67.5041011
529.0713539	81.30438598
532.7192153	99.85047019
535.1511228	117.9844192
537.5830304	138.5911794
540.014938	160.2969669
541.6362097	171.287239
