age	SDI_WAfSAm
85	1.55345674623683
90	1.65523121832445
95	1.59696029114989
105	1.7199481758034
120	1.37005120783963
125	1.27553976963132
130	1.2288321096258
135	1.11602791117159
140	1.1252844025568
150	1.13327987389095
155	1.13327974393427
160	1.17875402966138
165	1.13328179518673
170	1.13327973250608
