age	BS_Global
81	1731.47267042923
87	1739.36035117891
92	1762.96710111678
97	1778.80346933547
103	1794.04135353574
107	1790.79579115333
111	1833.83782586559
116	1873.56794878219
122	1895.54523898169
127	1855.9850014952
131	1850.62218203867
136	1855.72182923812
142	1874.57067068994
145	1885.41236067475
149	1869.71260890121
155	1892.91659249495
160	1840.61201697684
165	1818.99364064657
168	1860.523091652
172	1852.4160031337
