age	SDI_Global
85	5.6353485034891
86	5.75465283723162
87	5.814855919886
88	5.82220681375051
89	5.78295458112341
90	5.70334828430297
91	5.59056423894955
92	5.45548777417183
93	5.30993147244059
94	5.16570791622661
95	5.03462968800065
96	4.92607533015802
97	4.83968722479214
98	4.77267371392095
99	4.7222431395624
100	4.68560384373443
101	4.65996416845498
102	4.64253245574201
103	4.63051704761344
104	4.62112628608724
105	4.61156851318134
106	4.59953625180522
107	4.5846587484345
108	4.56704943043634
109	4.54682172517787
110	4.52408906002625
111	4.49896486234863
112	4.47156255951217
113	4.441995578884
114	4.41037734783129
115	4.37682129372119
116	4.34144084392084
117	4.30434942579739
118	4.265660466718
119	4.22548739404982
120	4.18394363515999
121	4.14109441558988
122	4.09681215357771
123	4.05092106553592
124	4.00324536787692
125	3.95360927701316
126	3.90222747603743
127	3.850876514764
128	3.80172340968749
129	3.75693517730255
130	3.7186788341038
131	3.68878729468151
132	3.66775706600852
133	3.65575055315329
134	3.6529301611843
135	3.65945829517
136	3.67451993886495
137	3.69339039076802
138	3.71036752806415
139	3.71974922793829
140	3.71583336757538
141	3.69455295021668
142	3.65838148332864
143	3.61142760043401
144	3.55779993505555
145	3.50160712071601
146	3.44695779093816
147	3.39796057924474
148	3.35872411915851
149	3.33335704420222
150	3.32596798789864
151	3.34005797250678
152	3.37669757523075
153	3.43634976201091
154	3.51947749878764
155	3.62654375150131
156	3.75494192157251
157	3.88978715234274
158	4.01312502263374
159	4.10700111126724
160	4.15346099706497
161	4.14027151256716
162	4.07808450518804
163	3.98327307606035
164	3.87221032631682
165	3.7612693570902
166	3.66567901876951
167	3.59609115876899
168	3.56201337375917
169	3.5729532604106
170	3.63841841539379
