age	SDI_NAfEu
85	4.67946042622476
86	4.85108814276752
87	4.96733568579358
88	5.03357393545682
89	5.05517377191112
90	5.03750607531038
91	4.98655483197079
92	4.91075645285783
93	4.8191604550993
94	4.720816355823
95	4.62477367215674
96	4.53847251755222
97	4.4629153907568
98	4.39749538684174
99	4.34160560087833
100	4.29463912793783
101	4.25598906309151
102	4.22504850141064
103	4.2012105379665
104	4.18386826783034
105	4.17241478607344
106	4.16636565834171
107	4.16572633257964
108	4.17062472730634
109	4.18118876104093
110	4.19754635230253
111	4.21982541961027
112	4.24815388148326
113	4.28265965644063
114	4.32347066300149
115	4.37071481968497
116	4.42452004501019
117	4.48501425749627
118	4.55232537566232
119	4.62658131802748
120	4.70791000311085
121	4.79394078414169
122	4.87230875318975
123	4.92815043703489
124	4.946602362457
125	4.91280105623594
126	4.81905764893728
127	4.68638168626937
128	4.54295731772621
129	4.41696869280185
130	4.3365999609903
131	4.32200167218583
132	4.36118997788359
133	4.43414742997899
134	4.5208565803674
135	4.60129998094423
136	4.65903001583778
137	4.691878398108
138	4.70124667304778
139	4.68853638594998
140	4.65514908210748
141	4.60302084565923
142	4.53622591612851
143	4.45937307188469
144	4.37707109129714
145	4.29392875273522
146	4.21455483456829
147	4.14355811516572
148	4.08554737289687
149	4.04513138613112
150	4.02691893323782
151	4.0339279484679
152	4.06281298959851
153	4.10863777028838
154	4.16646600419621
155	4.23136140498072
156	4.29855674298333
157	4.36396101527624
158	4.42365227561438
159	4.47370857775264
160	4.51020797544595
161	4.53009501623269
162	4.53378022278516
163	4.52254061155914
164	4.4976531990104
165	4.46039500159472
166	4.41186973701118
167	4.35248792793207
168	4.282486798273
169	4.20210357194957
170	4.11157547287739
