clade	species	ts	te
0.0	Cypridea_acicularis	142.59213934841347	137.20334448652486
0.0	Cypridea_altilis	135.84706146727467	134.8610503480535
0.0	Cypridea_ambigua	144.0511889191792	142.44977928814288
0.0	Cypridea_araripensis	126.02307715981159	111.82712557702577
0.0	Cypridea_bibullata	126.03586304138038	123.53087051606518
0.0	Cypridea_bubonulata	142.53256282865829	141.63517410656107
0.0	Cypridea_candeiensis	142.05603036632365	139.9174715110551
0.0	Cypridea_conjugata	123.7574161696517	122.60361060623607
0.0	Cypridea_dromedarius	135.19628473629732	132.05884466426664
0.0	Cypridea_elisabethaensis	119.37842359664596	118.42008430659307
0.0	Cypridea_ellipsoidea	135.02476347405474	129.33337230438303
0.0	Cypridea_eminens	125.70475708061079	124.92415314502146
0.0	Cypridea_faveolata	121.42938378076781	120.71427368877688
0.0	Cypridea_gabonensis	136.84827537893378	135.85966866700667
0.0	Cypridea_grekoffi	138.64171117596177	137.64951620716207
0.0	Cypridea_hadronodosa	141.87947518745185	140.03077012278123
0.0	Cypridea_hamakoussouensis	119.23001544219441	118.30116546460464
0.0	Cypridea_heliopolisensis_hespera	141.91309854121542	137.93313587350875
0.0	Cypridea_hystricoides	127.61313827369273	124.18914632335324
0.0	Cypridea_hystrix	134.7775503403934	133.78088186648867
0.0	Cypridea_indiennensis	144.0484874884749	136.81433154233545
0.0	Cypridea_infima	141.84155851469515	137.87417479790798
0.0	Cypridea_insolita	122.58275600778009	121.76542751252511
0.0	Cypridea_jequiensis	121.88234287479875	121.0377407185672
0.0	Cypridea_kitariensis	95.40275059312593	92.04276339450396
0.0	Cypridea_kroemmelbeini	138.6132286581366	137.61956883572836
0.0	Cypridea_langei	126.62324038784385	125.84106618329182
0.0	Cypridea_lunula	132.0015650192602	128.70529089486897
0.0	Cypridea_luzi	138.67048040361402	137.6843870082301
0.0	Cypridea_maior	138.84213081811816	137.85897598068982
0.0	Cypridea_maringaensis	120.21944690619905	116.97334949578494
0.0	Cypridea_minuscula	143.16898322367223	136.58508953569537
0.0	Cypridea_miritiensis	141.90847384478843	137.63486264126644
0.0	Cypridea_muelleri	129.5430170469305	128.66110046813466
0.0	Cypridea_multipunctata_	136.04957283398835	135.0596437365174
0.0	Cypridea_nannorostrata	123.53165467946681	122.83977885693857
0.0	Cypridea_nodobliqua	141.49538193394935	140.56801024467245
0.0	Cypridea_ogowensis	125.71611413814138	124.9338567515975
0.0	Cypridea_opifera	138.5130433180732	137.514557100641
0.0	Cypridea_paraibensis	144.07754107613073	123.9526725778558
0.0	Cypridea_primaria	144.34560607199072	143.86314678154778
0.0	Cypridea_punctacentralis	127.89824329681296	124.06318167973679
0.0	Cypridea_quadrilateralis	129.80180177409773	125.85463948661487
0.0	Cypridea_quarta	119.29174761901618	118.34175044273444
0.0	Cypridea_riojoanensis	122.15199346763468	121.224832799518
0.0	Cypridea_robusta	137.2822705588756	136.30026624090243
0.0	Cypridea_salvadorensis	139.6056504349243	138.6251056204162
0.0	Cypridea_sambaensis	119.1337018288383	118.16646799861998
0.0	Cypridea_sellata	143.24959449772498	141.5331459760798
0.0	Cypridea_semilunaris	123.53323769426693	122.84051389251893
0.0	Cypridea_spinata	121.44170423939241	120.71848524658245
0.0	Cypridea_subtilis	139.43861711246112	136.69154265126653
0.0	Cypridea_suspecta	141.93552498468986	140.11460645437455
0.0	Cypridea_tertia	119.08914696147964	118.11757056373565
0.0	Cypridea_trinodosa	143.95637185373852	142.60725049035491
0.0	Cypridea_troelseni	135.46311043686435	134.48650163567635
0.0	Cypridea_tucanoensis	139.46293636505365	135.61647636069364
0.0	Cypridea_ultima	119.36685538205383	118.39881581876818
0.0	Cypridea_variebullata	142.60057900408003	137.15404684527846
0.0	Cypridea_ventronodata	137.45407116298165	131.99428915825158
0.0	Cypridea_ventrospinata	129.88552009409096	126.89007615969157
0.0	Cypridea_vianai	144.0604933625336	142.49479012570123
0.0	Cypridea_vulgaris	135.0335313615636	134.0664094122641
0.0	Cypridea_yakokoensis	119.32552366723667	118.37430956127562
0.0	Kegelina_armata	144.52222050456507	144.23437192658926
0.0	Kegelina_bisculpturata	144.8252304116041	143.97693059164592
0.0	Kegelina_depressa	144.57316741319414	144.2816906488065
0.0	Kegelina_kegeli	144.8157715504255	143.9932907819678
0.0	Paracypridea_bicallosa	136.5148670296503	135.49529369462695
0.0	Paracypridea_brasiliensis	137.62945527296276	131.67798318937187
0.0	Paracypridea_connectens	126.42422555805557	125.64455281032811
0.0	Paracypridea_elegans	134.04335765200653	128.63353381578818
0.0	Paracypridea_impar	135.09180802811028	134.11577594455943
0.0	Paracypridea_langdoni	130.0301200516505	129.1416535484855
0.0	Paracypridea_maacki	137.05486735532358	133.40704074709748
0.0	Paracypridea_obovata	130.52455223231232	126.17782728656287
0.0	Paracypridea_quadrirugosa	125.93777857181571	122.99069948392483
0.0	Paracypridea_rhomboidalis	129.28967039364392	126.84698348428483
0.0	Paracypridea_similis	132.2464757329773	128.53421290573905
0.0	Praecypridea_acuta	144.60733650480503	144.32388244212441
