Age	GMST_Judd
1.134692274	10.45683946
1.149015461	10.76335566
1.256540423	11.26285958
1.317618583	13.08465515
1.36075583	13.49306929
1.511136003	11.75699679
1.54060178	12.13735189
1.5962133	13.89935277
1.758701037	12.57250966
1.96469824	13.03464067
2.160896205	14.40230099
2.315901033	13.49132311
2.616137735	15.13681846
2.725369042	13.95257996
2.984805276	14.51357845
3.185886157	15.74816876
3.334394242	14.85135189
3.385476272	15.23982713
3.905923479	15.71527953
4.136257984	16.14061228
4.898771991	16.05161862
5.507082093	16.45535665
6.570401425	16.75898885
6.77216176	17.43070594
7.227663887	17.05556714
7.533322689	18.27786188
7.55431981	17.5016695
8.003636785	17.83365703
8.020738988	18.84304785
8.331810791	18.27406637
8.343141695	19.30842914
8.771471565	18.72204337
8.853536228	19.93641355
8.950883326	19.27445248
9.230143713	20.27496977
9.500524661	19.69481212
9.796575844	20.81535141
10.0542115	20.24566528
10.16947901	21.07463528
10.66392253	20.76075789
10.79569423	21.60756762
11.02309728	21.18378495
11.17678083	22.0419769
11.63942754	21.71588467
11.67863307	22.4871563
12.12128614	22.95228061
12.28229088	22.10842434
12.61564351	22.55077243
12.88915711	23.02388338
13.44537356	23.38435048
13.60072941	23.72899078
14.46221997	23.6670334
15.81918493	23.72074849
17.06871288	23.82373513
18.33156571	23.98515075
19.51774795	23.9432914
19.54208335	23.48003982
20.21558114	23.56643752
20.5293352	22.73150484
20.67143442	23.19881355
21.20582027	22.747022
21.351818	22.31733418
22.34023118	22.30854468
22.3928498	22.00479713
23.64225067	22.29846148
23.77681212	22.73991535
24.41454604	22.70662745
24.63845661	23.16380482
25.45141136	23.15849915
26.63039966	23.45542508
27.89905307	23.45297329
29.21582237	23.32207524
30.45451761	23.15814685
30.86366864	23.34726167
32.00357098	23.50080131
32.69265224	23.89566397
33.40948274	24.27670159
33.61081522	24.72479462
34.22314151	24.65772575
34.23020571	25.11167787
34.8866428	25.08024567
35.09031744	25.50276637
35.73101367	25.44482734
35.82898776	25.86862336
36.51440003	25.8517034
37.21225268	26.19562598
37.83831588	26.56445418
38.48864353	26.96998905
38.66768618	27.42363236
39.29163567	27.36626456
39.40919057	27.85013843
40.05939357	27.70858726
40.60287129	28.02641862
41.76371156	27.92272109
42.80893524	27.59529028
42.92544995	27.17645695
43.71570489	27.21643874
44.56322963	26.92965534
45.43798757	27.15621567
45.72677317	26.9665314
46.72533821	27.25362979
47.11808689	28.109182
47.14087845	27.63181573
47.42846711	28.31728193
47.85851214	27.99787141
47.99304147	28.81790725
48.28147277	28.37247087
48.6237333	29.44663926
48.62876498	28.75006251
48.93967311	29.77371447
49.17595354	29.15302467
49.68405893	29.56898695
49.81918423	29.97943988
50.30573145	30.32994258
50.62972472	31.19702118
50.73317428	30.67637613
51.188575	31.57515128
51.40945545	31.07906888
51.97914645	31.60403402
52.56952264	31.8740108
53.28321414	32.22004391
54.29925385	32.30203699
55.01361185	32.61943968
55.05556937	33.25996908
55.39903982	33.74726442
55.94283683	34.23219013
56.06363319	33.67170337
56.21047861	33.20398582
56.32275214	32.87217386
56.92515167	32.09119586
56.92994824	34.19554288
56.9440725	32.49610162
57.02974961	31.75597714
57.12920842	31.31078106
57.1380843	30.76540651
57.20739206	30.41029628
57.31471116	30.1333103
57.35155734	29.63501122
57.38313579	33.70328221
57.43913947	28.93565433
57.50396687	28.30083472
57.53906466	33.39030655
57.60251878	32.91452426
57.65118377	27.55408864
57.69237167	27.92078668
57.72112983	31.79612329
57.72353539	32.37241771
57.8612106	26.38671049
57.90532926	26.04404247
57.94567199	31.28252176
57.97409983	30.6612616
58.07359551	25.78451831
58.07421514	29.99683386
58.10510811	26.92681786
58.22519325	29.31466701
58.28350662	25.55832244
58.29621002	28.71017268
58.36054217	28.14044929
58.46814691	27.50792431
58.50226404	25.17828908
58.71054064	25.97515643
58.72897488	26.39007469
59.14259558	25.35560923
59.20341144	26.8000473
59.77098266	25.75629639
60.11021184	26.2600623
60.57257705	26.84225635
60.7914726	27.3275657
61.51689713	27.2669841
61.59303831	27.75257657
62.2881823	27.66952283
62.56487728	28.05999851
63.10751693	28.35989516
63.20331596	28.75552767
64.26985552	28.75557606
64.79928804	28.16553238
65.20079772	28.46508136
65.25750338	27.67688202
65.60287558	27.34700331
65.80103875	28.02422871
66.11463903	27.63662316
66.12879855	26.76312733
66.43225832	27.24134216
66.74427636	26.03683347
66.91646674	26.78043371
67.26357922	25.56864867
67.28192085	26.45608535
67.4741116	26.04204531
