Age	SL_Karslen
1.191972678	4.204993677
4.247179748	12.49527109
8.033049464	24.05645203
11.82012015	35.02285474
15.60939565	44.89731809
19.3989211	54.64799633
23.19452015	61.39072535
26.9909809	67.70669936
30.78130206	77.06330276
34.55617026	94.07298119
38.33021242	111.4917625
42.11519106	123.4942469
45.90609387	132.5627907
49.69460546	142.8155796
53.47883012	155.1914746
57.25986651	169.1463631
61.03624973	185.4057287
64.80649337	204.7057236
68.57718941	223.7816721
72.36050928	236.6056599
76.14884854	246.9437998
79.94125932	255.2655223
83.74892211	256.0336814
87.55716655	256.5137807
91.36381685	257.7833769
95.1682052	260.1732049
98.97321828	262.2536355
102.7816351	262.6483839
106.5909135	262.6163772
110.4000843	262.637715
114.2072732	263.6405892
118.0148498	264.4514237
121.2381513	250.348187
123.7988589	229.6906286
126.296819	209.6811535
128.9188925	189.0598184
132.2138784	169.8825155
136.0630534	150.0917523
139.9092771	131.762625
143.7443849	118.9386372
147.5748826	108.3977887
151.404691	98.19834419
155.2321082	89.18314479
159.0583405	80.75473352
162.8677483	80.65871365
166.6715334	83.34727015
170.4784422	84.48883978
174.294959	80.87209115
178.111368	77.30868689
181.9225853	76.31648151
185.7262843	79.04771352
189.5302202	81.6615879
193.3310971	85.79044253
197.1301861	90.8048138
200.9297058	95.60580756
204.729678	100.1827549
208.5288746	105.1437818
212.325917	111.1716962
216.1216884	117.8290742
219.9159734	125.2226046
223.7035586	135.9341552
227.4901745	147.1258051
