age	SL_Haq
3.828845728	38.56607271
8.05005129	54.55667266
15.62932912	60.64553098
26.11290614	50.50843676
32.73340932	59.22520988
35.05238956	75.90202217
36.89973357	91.58141569
38.75075267	106.1648981
41.07259132	121.9893351
43.86974129	137.7152797
47.14159006	153.5253839
52.30902567	170.6288738
59.86535568	183.5607719
69.63816211	196.5230099
77.82979615	208.8597071
88.26012152	214.6022541
96.84840763	203.0835319
103.5829722	177.7872094
108.6552055	152.4603435
112.9724942	125.635022
122.7792908	119.0187507
131.3542088	111.4864249
139.5258184	82.58127329
145.663133	93.74555225
150.5117985	111.4800547
155.5345348	104.2855633
163.9582292	91.26260185
170.6854647	82.31572616
175.7433162	62.85129626
184.297695	45.70603281
191.0806816	5.970251187
192.1434046	19.55804826
195.3960511	-6.11882681
197.8367176	-25.72884898
202.179796	-46.08074882
210.2269486	-37.87278378
218.2674573	-27.68363918
227.2341366	-10.39987505
236.2590706	-10.48764616
240.1347002	-33.08563924
248.6969224	-36.83209031
258.6686918	-56.22168041
261.8877768	-51.65634665
267.6825732	-32.77938194
271.4244656	-15.49696422
278.9972397	-7.468675331
289.4534206	-9.436250386
298.7698471	4.723871495
304.3787307	1.475619112
311.8122078	-19.7774122
319.4830955	-41.00662894
327.0683129	-36.68894008
332.7112057	-19.72743101
337.8847489	-4.44524094
342.5824908	11.08156295
347.2768027	27.63121721
354.8430284	37.61222045
364.8081136	40.4500206
372.3502917	57.60204621
377.9935928	74.44178738
386.0340532	84.64532273
394.1451942	73.77194142
400.3877679	53.54793463
408.9447718	51.35758245
414.3462317	69.49469077
421.6654748	82.30622973
429.692757	96.43954734
440.2208805	73.01868211
444.6065283	87.18572514
450.5795936	100.115998
458.1439484	110.6549196
465.7802458	99.74055107
473.4421128	81.20129796
482.0268628	70.73705412
487.3227515	49.53584155
491.6626624	30.12851271
497.4195295	13.10286111
504.1260393	-3.827532225
511.3085166	-21.05211631
	
