clade	species	ts	te
0.0	Cypridea_aaleyensis	128.5837227899879	116.30665837694377
0.0	Cypridea_aculeata	136.42366730665307	134.0842404293243
0.0	Cypridea_aemulans	142.89314612374122	138.29006219324194
0.0	Cypridea_ahlmadoensis	119.91708617866175	118.3994847917079
0.0	Cypridea_alta	141.2418134608846	139.67412281761816
0.0	Cypridea_altissima	142.35160481246814	141.23883726558265
0.0	Cypridea_amerikana	115.52348969468692	105.3125946318863
0.0	Cypridea_amisia	142.52299960592603	141.27556097849978
0.0	Cypridea_andersoni	141.88854556740566	140.35163743238434
0.0	Cypridea_arenosa	135.8705119109791	134.55093072406723
0.0	Cypridea_asseri	135.86232298250982	134.55198113176132
0.0	Cypridea_baidarensis	129.9066691207212	116.74131159964595
0.0	Cypridea_bimammata	141.66217385751855	139.30153349783498
0.0	Cypridea_bispinosa	136.3831955793358	132.45429108531084
0.0	Cypridea_blackbushensis	137.6885725221152	134.56494234786348
0.0	Cypridea_brendae	128.73293904357044	127.10026711615113
0.0	Cypridea_brevicornis	110.65404967887679	104.51329128466284
0.0	Cypridea_brevirostrata	141.656922296403	138.70196785065852
0.0	Cypridea_caudata	122.59315740580406	121.63358147348472
0.0	Cypridea_clavata	132.1093067488975	120.49693797106971
0.0	Cypridea_coelnothi	143.4090185379154	142.50068862361624
0.0	Cypridea_compta	116.83178973898738	99.23541353294533
0.0	Cypridea_comptonensis	123.49157999427995	122.18268371360713
0.0	Cypridea_craigi	117.41063556378563	103.27891159246592
0.0	Cypridea_cuckmerensis	123.08755733159333	120.51988277166771
0.0	Cypridea_darvelensis	142.03303605341054	140.75046113697135
0.0	Cypridea_delicatula	143.4211754843348	142.58604614826152
0.0	Cypridea_demnatensis	152.61880221231212	151.89051464681646
0.0	Cypridea_diminuta	119.69301094402944	101.38194413761138
0.0	Cypridea_dolabrata	141.56521808198082	137.63743549049488
0.0	Cypridea_dorsispinata	132.39794285506858	127.8806754680147
0.0	Cypridea_dunkeri	147.11246629245292	142.6423349615996
0.0	Cypridea_fasciata	124.13238774823749	120.5244787386274
0.0	Cypridea_feruglioi	111.76595639456396	109.83673780543805
0.0	Cypridea_frithwaldi	136.44445729439295	134.358186097941
0.0	Cypridea_funduklensis	142.36871418867193	139.71005408646087
0.0	Cypridea_garurensis	119.91725972332723	118.38474480589807
0.0	Cypridea_giffordi	135.8559634687747	134.53374436546366
0.0	Cypridea_granulosa	144.99107652879528	141.86854969915697
0.0	Cypridea_hamata	123.39501059263591	120.50648666620667
0.0	Cypridea_helenae	136.15124502205026	134.54909795581955
0.0	Cypridea_heliopolisensis	129.72313872447725	116.44716810500104
0.0	Cypridea_inaequalis	142.18950200552007	140.35233131824322
0.0	Cypridea_indiennensis	141.94338548932487	138.28882479060792
0.0	Cypridea_kitariensis	96.22934985643856	91.03213513577137
0.0	Cypridea_laevigata	141.65152211175112	131.85027871176712
0.0	Cypridea_lasius	136.41622932340323	133.3746646418964
0.0	Cypridea_lata	143.61163940810405	140.56496353355533
0.0	Cypridea_libanensis	131.21712669827699	116.59599129498292
0.0	Cypridea_longispina	140.09160808812092	132.98219514733148
0.0	Cypridea_marina	128.61200990600906	125.90108531151311
0.0	Cypridea_martini	141.94057981037813	141.25048115954158
0.0	Cypridea_melvillei	139.37355849412495	133.1527600305003
0.0	Cypridea_menevensis	139.66653090584907	135.1146681589516
0.0	Cypridea_mohandi	156.99095827226267	150.42300020021196
0.0	Cypridea_morula	139.3040464716247	138.96524799366992
0.0	Cypridea_nitidula	110.81252628743287	100.0467723467235
0.0	Cypridea_obesa	119.18055891230912	102.40921518099181
0.0	Cypridea_obliqua	141.92517432838326	141.2625514590046
0.0	Cypridea_orientalis	123.68960230602305	117.88970544437444
0.0	Cypridea_parallela	141.17497501566018	140.93047193665936
0.0	Cypridea_paulsgrovensis	139.33516353457537	134.57207450632504
0.0	Cypridea_peltoides	145.48063034505344	141.83872369996698
0.0	Cypridea_pendae	136.12667820469204	134.31207718500187
0.0	Cypridea_penshurstensis	142.90209332295322	139.80767020833207
0.0	Cypridea_piedmonti	140.95245642812426	129.83628185198853
0.0	Cypridea_posticalis	143.15409823513235	142.64804056528567
0.0	Cypridea_primaeva	146.92487189599893	141.9492767524075
0.0	Cypridea_propunctata	141.68254057642577	139.43562177950778
0.0	Cypridea_pseudomarina	124.70175179190794	123.46247593226933
